team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
South Florida,Amir Abdur-Rahim,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Lipscomb,Lennie Acuff,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Longwood,Griff Aldrich,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Belmont,Casey Alexander,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Nevada,Steve Alford,sports_reference_2024_coaches,12,4,0,0,1,0,0,0,20,0.9499
Oregon,Dana Altman,sports_reference_2024_coaches,15,5,1,0,7,5,1,0,29,0.9715
Harvard,Tommy Amaker,sports_reference_2024_coaches,5,1,0,0,4,0,0,0,7,0.874
Iona,Tobin Anderson,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Syracuse,Adrian Autry,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Rider,Kevin Baggett,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Florida International,Jeremy Ballard,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Central Michigan,Tony Barbee,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Tennessee,Rick Barnes,sports_reference_2024_coaches,27,8,1,0,5,2,0,0,47,0.9864
Cal State Bakersfield,Rod Barnes,sports_reference_2024_coaches,4,1,0,0,1,0,0,0,6,0.8428
SIU Edwardsville,Brian Barone,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Mississippi,Chris Beard,sports_reference_2024_coaches,6,3,1,0,0,0,0,0,16,0.935
Vermont,John Becker,sports_reference_2024_coaches,5,0,0,0,5,0,0,0,5,0.813
Saint Mary's,Randy Bennett,sports_reference_2024_coaches,9,1,0,0,9,1,0,0,11,0.9106
Virginia,Tony Bennett,sports_reference_2024_coaches,11,4,1,1,9,3,1,1,31,0.9756
NJIT,Grant Billmeier,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Howard,Kenneth Blakeney,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Ohio,Jeff Boals,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Central Arkansas,Anthony Boone,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Western Illinois,Chad Boudreau,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Colorado,Tad Boyle,sports_reference_2024_coaches,5,0,0,0,5,0,0,0,5,0.813
Oklahoma St.,Michael Boynton,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Arkansas-Pine Bluff,Solomon Bozeman,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
DePaul,Matt Brady,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Morgan State,Kevin Broadus,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Lamar,Alvin Brooks,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Clemson,Brad Brownell,sports_reference_2024_coaches,6,1,0,0,3,1,0,0,8,0.8862
Northern Arizona,Shane Burcar,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northern Illinois,Rashon Burno,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Alcorn State,Landon Bussie,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
James Madison,Mark Byington,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northwestern State,Rick Cabrera,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Youngstown State,Jerrod Calhoun,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Kentucky,John Calipari,sports_reference_2024_coaches,22,15,6,1,11,8,4,1,84,0.9932
Pittsburgh,Jeff Capel III,sports_reference_2024_coaches,4,1,0,0,1,0,0,0,6,0.8428
George Washington,Chris Caputo,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Fairfield,Chris Casey,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Fairleigh Dickinson,Jack Castleberry,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
McNeese St.,Will Wade,sports_reference_2024_coaches,5,1,0,0,0,0,0,0,7,0.874
Florida Gulf Coast,Patrick Chambers,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Le Moyne,Nate Champion,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Hofstra,Speedy Claxton,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Portland State,Jase Coburn,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northeastern,Bill Coen,sports_reference_2024_coaches,2,0,0,0,2,0,0,0,2,0.6829
Purdue Fort Wayne,Jon Coffman,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Tennessee State,Brian Collins,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northwestern,Chris Collins,sports_reference_2024_coaches,2,0,0,0,2,0,0,0,2,0.6829
The Citadel,Ed Conroy,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Georgetown,Ed Cooley,sports_reference_2024_coaches,7,1,0,0,0,0,0,0,9,0.8916
Wagner,Donald Copeland,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Houston Christian,Ron Cottrell,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Gardner-Webb,Tim Craft,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Maryland-Eastern Shore,Jason Crafton,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
IU Indianapolis,Matt Crenshaw,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
UCLA,Mick Cronin,sports_reference_2024_coaches,14,4,1,0,3,3,1,0,26,0.958
Troy,Scott Cross,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Cal Baptist,Rick Croy,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Nebraska Omaha,Chris Crutchfield,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Marshall,Dan D'Antoni II,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Duquesne,Keith Dambrot,sports_reference_2024_coaches,3,0,0,0,0,0,0,0,3,0.7412
Bellarmine,Scott Davenport,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
North Carolina,Hubert Davis,sports_reference_2024_coaches,1,1,1,0,1,1,1,0,7,0.874
Detroit Mercy,Mike Davis,sports_reference_2024_coaches,9,1,1,0,0,0,0,0,15,0.9282
New Hampshire,Nathan Davis,sports_reference_2024_coaches,2,0,0,0,0,0,0,0,2,0.6829
UCF,Johnny Dawkins Jr,sports_reference_2024_coaches,2,1,0,0,1,0,0,0,4,0.7818
Navy,Ed DeChellis,sports_reference_2024_coaches,2,0,0,0,0,0,0,0,2,0.6829
Montana,Travis DeCuire,sports_reference_2024_coaches,2,0,0,0,2,0,0,0,2,0.6829
Drake,Darian DeVries,sports_reference_2024_coaches,2,0,0,0,2,0,0,0,2,0.6829
USC Upstate,Dave Dickerson,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Ohio St.,Jake Diebler,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
TCU,Jamie Dixon,sports_reference_2024_coaches,14,3,0,0,3,0,0,0,20,0.9499
Penn,Steve Donahue,sports_reference_2024_coaches,4,1,0,0,1,0,0,0,6,0.8428
Old Dominion,Kieran Donohue,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Grand Canyon,Bryce Drew,sports_reference_2024_coaches,5,0,0,0,2,0,0,0,5,0.813
Baylor,Scott Drew,sports_reference_2024_coaches,11,5,1,1,11,5,1,1,33,0.9797
North Florida,Matthew Driscoll,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Weber State,Eric Duft,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Marist,John Dunne,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
La Salle,Fran Dunphy,sports_reference_2024_coaches,17,0,0,0,0,0,0,0,17,0.9417
UMass-Lowell,Pat Duquette,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
San Diego St.,Brian Dutcher,sports_reference_2024_coaches,4,1,1,0,4,1,1,0,10,0.9024
Cornell,Brian Earl,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Chattanooga,Dan Earl,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
West Virginia,Josh Eilert,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Coastal Carolina,Benny Moss,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
USC,Andy Enfield,sports_reference_2024_coaches,6,2,0,0,5,1,0,0,10,0.9024
Mount St. Mary's,Dan Engelstad,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Columbia,Jim Engles,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Providence,Kim English,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Charlotte,Aaron Fearne,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Presbyterian,Quinton Ferrell,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
UMBC,Jim Ferry,sports_reference_2024_coaches,2,0,0,0,0,0,0,0,2,0.6829
Gonzaga,Mark Few,sports_reference_2024_coaches,23,12,2,0,23,12,2,0,55,0.9892
Texas-Rio Grande Valley,Matt Figger,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
William & Mary,Dane Fischer,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Temple,Adam Fisher,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Wake Forest,Steve Forbes,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Missouri State,Dana Ford,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Stony Brook,Geno Ford,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Saint Louis,Travis Ford,sports_reference_2024_coaches,7,0,0,0,1,0,0,0,7,0.874
Manhattan,John Gallagher,sports_reference_2024_coaches,1,0,0,0,0,0,0,0,1,0.5718
Merrimack,Joe Gallo,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Hawaii,Eran Ganot,sports_reference_2024_coaches,1,0,0,0,1,0,0,0,1,0.5718
Wisconsin,Greg Gard,sports_reference_2024_coaches,5,2,0,0,5,2,0,0,9,0.8916
Mercer,Greg Gary,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Missouri,Dennis Gates,sports_reference_2024_coaches,2,0,0,0,1,0,0,0,2,0.6829
Lindenwood,Kyle Gerdeman,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
San Francisco,Chris Gerlufsen,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Chicago State,Gerald Gillion,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
Tarleton State,Billy Gillispie,sports_reference_2024_coaches,4,1,0,0,0,0,0,0,6,0.8428
Austin Peay,Corey Gipson,sports_reference_2024_coaches,0,0,0,0,0,0,0,0,0,0.2493
