team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Northern Arizona,Dave Brown,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Brown,Jesse Agel,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Stetson,Casey Alexander,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
New Mexico,Steve Alford,sports_reference_2012_coaches,5,1,0,0,1,0,0,0,7,0.842
Maryland-Eastern Shore,Frankie Allen,sports_reference_2012_coaches,2,0,0,0,0,0,0,0,2,0.6509
Penn,Jerome Allen,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Oregon,Dana Altman,sports_reference_2012_coaches,8,0,0,0,0,0,0,0,8,0.8534
Harvard,Tommy Amaker,sports_reference_2012_coaches,1,1,0,0,0,0,0,0,3,0.7198
Arkansas,Mike Anderson Sr,sports_reference_2012_coaches,6,2,0,0,0,0,0,0,10,0.875
Jackson State,Tevester Anderson,sports_reference_2012_coaches,3,0,0,0,1,0,0,0,3,0.7198
Hawaii,Gib Arnold,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
South Alabama,Ronnie Arrow,sports_reference_2012_coaches,4,0,0,0,3,0,0,0,4,0.7644
Southern,Roman Banks,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Auburn,Tony Barbee,sports_reference_2012_coaches,1,0,0,0,0,0,0,0,1,0.5316
Texas,Rick Barnes,sports_reference_2012_coaches,19,6,1,0,13,5,1,0,35,0.9655
Cal State Bakersfield,Rod Barnes,sports_reference_2012_coaches,3,1,0,0,0,0,0,0,5,0.8003
Rhode Island,Jim Baron,sports_reference_2012_coaches,2,0,0,0,0,0,0,0,2,0.6509
ETSU,Murry Bartow,sports_reference_2012_coaches,4,0,0,0,3,0,0,0,4,0.7644
VMI,Duggar Baucom,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Vermont,John Becker,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Michigan,John Beilein,sports_reference_2012_coaches,6,2,0,0,2,0,0,0,10,0.875
Saint Mary's,Randy Bennett,sports_reference_2012_coaches,3,1,0,0,3,1,0,0,5,0.8003
Virginia,Tony Bennett,sports_reference_2012_coaches,2,1,0,0,0,0,0,0,4,0.7644
UNC Asheville,Eddie Biedenbach,sports_reference_2012_coaches,2,0,0,0,2,0,0,0,2,0.6509
Sacred Heart,Dave Bike,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Syracuse,Jim Boeheim,sports_reference_2012_coaches,28,15,3,1,28,15,3,1,78,0.9914
Washington St.,Ken Bone,sports_reference_2012_coaches,2,0,0,0,0,0,0,0,2,0.6509
South Dakota,David Boots,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Colorado,Tad Boyle,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Morgan State,Todd Bozeman,sports_reference_2012_coaches,5,1,0,0,2,0,0,0,7,0.842
Arkansas State,John Brady,sports_reference_2012_coaches,4,2,1,0,0,0,0,0,12,0.9066
James Madison,Matt Brady,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
St. Francis NY,Glenn Braica,sports_reference_2012_coaches,0,0,0,0,0,0,0,0,0,0.2284
Cal St. Northridge,Bobby Braswell,sports_reference_2012_coaches,2,0,0,0,2,0,0,0,2,0.6509
Rice,Ben Braun,sports_reference_2012_coaches,8,2,0,0,0,0,0,0,12,0.9066
Notre Dame,Mike Brey,sports_reference_2012_coaches,9,1,0,0,7,1,0,0,11,0.8908
