team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Lipscomb,Casey Alexander,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
North Carolina A&T,Cy Alexander,sports_reference_2014_coaches,6,0,0,0,1,0,0,0,6,0.8187
UCLA,Steve Alford,sports_reference_2014_coaches,7,1,0,0,0,0,0,0,9,0.8612
Maryland-Eastern Shore,Frankie Allen,sports_reference_2014_coaches,2,0,0,0,0,0,0,0,2,0.6601
Penn,Jerome Allen,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Oregon,Dana Altman,sports_reference_2014_coaches,9,1,0,0,1,1,0,0,11,0.8824
Harvard,Tommy Amaker,sports_reference_2014_coaches,3,1,0,0,2,0,0,0,5,0.7989
Arkansas,Mike Anderson Sr,sports_reference_2014_coaches,6,2,0,0,0,0,0,0,10,0.8725
Hawaii,Gib Arnold,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Rider,Kevin Baggett,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Southern,Roman Banks,sports_reference_2014_coaches,1,0,0,0,1,0,0,0,1,0.5496
Auburn,Tony Barbee,sports_reference_2014_coaches,1,0,0,0,0,0,0,0,1,0.5496
Texas,Rick Barnes,sports_reference_2014_coaches,20,6,1,0,14,5,1,0,36,0.9688
Cal State Bakersfield,Rod Barnes,sports_reference_2014_coaches,3,1,0,0,0,0,0,0,5,0.7989
Canisius,Jim Baron,sports_reference_2014_coaches,2,0,0,0,0,0,0,0,2,0.6601
ETSU,Murry Bartow,sports_reference_2014_coaches,4,0,0,0,3,0,0,0,4,0.772
VMI,Duggar Baucom,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Vermont,John Becker,sports_reference_2014_coaches,1,0,0,0,1,0,0,0,1,0.5496
Michigan,John Beilein,sports_reference_2014_coaches,8,3,1,0,4,1,1,0,18,0.9433
North Texas,Tony Benford,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Saint Mary's,Eran Ganot,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Virginia,Tony Bennett,sports_reference_2014_coaches,3,1,0,0,1,0,0,0,5,0.7989
Northern Kentucky,Dave Bezold,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Syracuse,Jim Boeheim,sports_reference_2014_coaches,30,17,4,1,30,17,4,1,88,0.9943
Washington St.,Ken Bone,sports_reference_2014_coaches,2,0,0,0,0,0,0,0,2,0.6601
Marist,Jeff Bower,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Colorado,Tad Boyle,sports_reference_2014_coaches,2,0,0,0,2,0,0,0,2,0.6601
Morgan State,Todd Bozeman,sports_reference_2014_coaches,5,1,0,0,2,0,0,0,7,0.8357
Arkansas State,John Brady,sports_reference_2014_coaches,4,2,1,0,0,0,0,0,12,0.898
James Madison,Matt Brady,sports_reference_2014_coaches,1,0,0,0,1,0,0,0,1,0.5496
St. Francis NY,Glenn Braica,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Rice,Ben Braun,sports_reference_2014_coaches,8,2,0,0,0,0,0,0,12,0.898
American,Mike Brennan,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Jackson State,Wayne Brent,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Notre Dame,Mike Brey,sports_reference_2014_coaches,11,1,0,0,9,1,0,0,13,0.9108
Savannah State,Horace Broadnax,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
SMU,Larry Brown,sports_reference_2014_coaches,7,4,3,1,0,0,0,0,35,0.966
Holy Cross,Milan Brown,sports_reference_2014_coaches,1,0,0,0,0,0,0,0,1,0.5496
Albany (NY),Will Brown,sports_reference_2014_coaches,3,0,0,0,3,0,0,0,3,0.7295
Clemson,Brad Brownell,sports_reference_2014_coaches,4,0,0,0,1,0,0,0,4,0.772
Incarnate Word,Ken Burmeister,sports_reference_2014_coaches,1,0,0,0,0,0,0,0,1,0.5496
Georgia Southern,Mark Byington,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Belmont,Rick Byrd,sports_reference_2014_coaches,6,0,0,0,6,0,0,0,6,0.8187
Wake Forest,Jeff Bzdelik,sports_reference_2014_coaches,1,0,0,0,0,0,0,0,1,0.5496
Kentucky,John Calipari,sports_reference_2014_coaches,14,10,4,1,3,3,2,1,58,0.9858
Cal Poly,Joe Callero,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Appalachian St.,Jason Capel,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Nevada,David Carter,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Niagara,Chris Casey,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Penn St.,Patrick Chambers,sports_reference_2014_coaches,1,0,0,0,0,0,0,0,1,0.5496
High Point,Scott Cherry,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
Mount St. Mary's,Jamion Christian,sports_reference_2014_coaches,0,0,0,0,0,0,0,0,0,0.2394
