team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Northern Arizona,Mike Adras,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Brown,Jesse Agel,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
New Mexico,Steve Alford,sports_reference_2010_coaches,4,1,0,0,0,0,0,0,6,0.8319
Maryland-Eastern Shore,Frankie Allen,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
Penn,Jerome Allen,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Creighton,Dana Altman,sports_reference_2010_coaches,8,0,0,0,7,0,0,0,8,0.8575
Harvard,Tommy Amaker,sports_reference_2010_coaches,1,1,0,0,0,0,0,0,3,0.7279
Missouri,Mike Anderson Sr,sports_reference_2010_coaches,4,2,0,0,1,1,0,0,8,0.8575
Jackson State,Tevester Anderson,sports_reference_2010_coaches,3,0,0,0,1,0,0,0,3,0.7279
South Alabama,Ronnie Arrow,sports_reference_2010_coaches,4,0,0,0,3,0,0,0,4,0.7764
Pepperdine,Tom Asbury,sports_reference_2010_coaches,4,0,0,0,3,0,0,0,4,0.7764
Florida Gulf Coast,Dave Balza,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
UTEP,Tony Barbee,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Texas,Rick Barnes,sports_reference_2010_coaches,17,6,1,0,11,5,1,0,33,0.9672
Georgia State,Rod Barnes,sports_reference_2010_coaches,3,1,0,0,0,0,0,0,5,0.8077
Rhode Island,Jim Baron,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
ETSU,Murry Bartow,sports_reference_2010_coaches,3,0,0,0,2,0,0,0,3,0.7279
VMI,Duggar Baucom,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Michigan,John Beilein,sports_reference_2010_coaches,5,2,0,0,1,0,0,0,9,0.8732
Saint Mary's,Randy Bennett,sports_reference_2010_coaches,2,0,0,0,2,0,0,0,2,0.6553
Virginia,Tony Bennett,sports_reference_2010_coaches,2,1,0,0,0,0,0,0,4,0.7764
UNC Asheville,Eddie Biedenbach,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Sacred Heart,Dave Bike,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Syracuse,Jim Boeheim,sports_reference_2010_coaches,26,14,3,1,26,14,3,1,74,0.9943
Washington St.,Ken Bone,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
South Dakota,David Boots,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Northern Colorado,Tad Boyle,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Utah,Jim Boylen,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Morgan State,Todd Bozeman,sports_reference_2010_coaches,4,1,0,0,1,0,0,0,6,0.8319
Arkansas State,John Brady,sports_reference_2010_coaches,4,2,1,0,0,0,0,0,12,0.9145
James Madison,Matt Brady,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Cal St. Northridge,Bobby Braswell,sports_reference_2010_coaches,2,0,0,0,2,0,0,0,2,0.6553
Rice,Ben Braun,sports_reference_2010_coaches,8,2,0,0,0,0,0,0,12,0.9145
Notre Dame,Mike Brey,sports_reference_2010_coaches,7,1,0,0,5,1,0,0,9,0.8732
Savannah State,Horace Broadnax,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Cal State Bakersfield,Keith Brown,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Missouri-Kansas City,Matt Brown,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Mount St. Mary's,Milan Brown,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Albany (NY),Will Brown,sports_reference_2010_coaches,2,0,0,0,2,0,0,0,2,0.6553
Wright St.,Brad Brownell,sports_reference_2010_coaches,3,0,0,0,1,0,0,0,3,0.7279
Cal St. Fullerton,Bob Burton,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Belmont,Rick Byrd,sports_reference_2010_coaches,3,0,0,0,3,0,0,0,3,0.7279
Colorado,Jeff Bzdelik,sports_reference_2010_coaches,1,0,0,0,0,0,0,0,1,0.5313
Connecticut,Jim Calhoun,sports_reference_2010_coaches,21,12,3,2,16,12,3,2,73,0.9915
Kentucky,John Calipari,sports_reference_2010_coaches,11,7,2,0,0,0,0,0,33,0.9672
Cal Poly,Joe Callero,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Monmouth,Dave Calloway,sports_reference_2010_coaches,3,0,0,0,3,0,0,0,3,0.7279
Oklahoma,Jeff Capel III,sports_reference_2010_coaches,3,1,0,0,2,1,0,0,5,0.8077
Northwestern,Bill Carmody,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
Nevada,David Carter,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
South Carolina State,Tim Carter,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
Boston University,Patrick Chambers,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Central Arkansas,Rand Chappell,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
High Point,Scott Cherry,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
TCU,Jim Christian,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
Texas A&M-Corpus Christi,Perry Clark,sports_reference_2010_coaches,4,0,0,0,0,0,0,0,4,0.7764
Fresno St.,Steve Cleveland,sports_reference_2010_coaches,3,0,0,0,0,0,0,0,3,0.7279
Northeastern,Bill Coen,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Miami OH,Charlie Coles,sports_reference_2010_coaches,4,1,0,0,3,1,0,0,6,0.8319
Winston-Salem,Bobby Collins,sports_reference_2010_coaches,1,0,0,0,0,0,0,0,1,0.5313
Illinois Chicago,Jimmy Collins,sports_reference_2010_coaches,3,0,0,0,3,0,0,0,3,0.7279
The Citadel,Ed Conroy,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Fairfield,Ed Cooley,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Tennessee State,John Cooper,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Houston Christian,Ron Cottrell,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Indiana,Tom Crean,sports_reference_2010_coaches,5,1,1,0,0,0,0,0,11,0.9003
Charleston,Bobby Cremins,sports_reference_2010_coaches,11,5,1,0,0,0,0,0,25,0.9573
Cincinnati,Mick Cronin,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
Toledo,Gene Cross,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
UT Arlington,Scott Cross,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Akron,Keith Dambrot,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
Texas State,Doug Davalos,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Colgate,Emmett Davis,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Providence,Keno Davis,sports_reference_2010_coaches,1,0,0,0,0,0,0,0,1,0.5313
Middle Tennessee,Kermit Davis Jr,sports_reference_2010_coaches,2,0,0,0,0,0,0,0,2,0.6553
UAB,Mike Davis,sports_reference_2010_coaches,4,1,1,0,0,0,0,0,10,0.8889
Stanford,Johnny Dawkins Jr,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Penn St.,Ed DeChellis,sports_reference_2010_coaches,1,0,0,0,0,0,0,0,1,0.5313
Wagner,Mike Deane,sports_reference_2010_coaches,4,0,0,0,0,0,0,0,4,0.7764
UNC Greensboro,Mike Dement,sports_reference_2010_coaches,1,0,0,0,0,0,0,0,1,0.5313
Rider,Tommy Dempsey,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Central Connecticut,Howie Dickenman,sports_reference_2010_coaches,3,0,0,0,3,0,0,0,3,0.7279
Tulane,Dave Dickerson,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Pittsburgh,Jamie Dixon,sports_reference_2010_coaches,6,3,0,0,6,3,0,0,12,0.9145
SMU,Matt Doherty,sports_reference_2010_coaches,1,0,0,0,0,0,0,0,1,0.5313
Seattle,Cameron Dollar,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Cornell,Steve Donahue,sports_reference_2010_coaches,2,0,0,0,2,0,0,0,2,0.6553
Florida,Billy Donovan,sports_reference_2010_coaches,9,4,3,2,9,4,3,2,45,0.9786
UC-Irvine,Pat Douglass,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Valparaiso,Homer Drew,sports_reference_2010_coaches,7,1,0,0,7,1,0,0,9,0.8732
Baylor,Scott Drew,sports_reference_2010_coaches,1,0,0,0,1,0,0,0,1,0.5313
North Florida,Matthew Driscoll,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
Dartmouth,Mark Graupe,sports_reference_2010_coaches,0,0,0,0,0,0,0,0,0,0.2236
