team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Stetson,Casey Alexander,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
North Carolina A&T,Cy Alexander,sports_reference_2013_coaches,5,0,0,0,0,0,0,0,5,0.7977
New Mexico,Steve Alford,sports_reference_2013_coaches,6,1,0,0,2,0,0,0,8,0.8519
Maryland-Eastern Shore,Frankie Allen,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
Penn,Jerome Allen,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Oregon,Dana Altman,sports_reference_2013_coaches,8,0,0,0,0,0,0,0,8,0.8519
Harvard,Tommy Amaker,sports_reference_2013_coaches,2,1,0,0,1,0,0,0,4,0.7678
Arkansas,Mike Anderson Sr,sports_reference_2013_coaches,6,2,0,0,0,0,0,0,10,0.8746
Jackson State,Tevester Anderson,sports_reference_2013_coaches,3,0,0,0,1,0,0,0,3,0.7293
Hawaii,Gib Arnold,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
South Alabama,Jeff Price,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Rider,Kevin Baggett,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Southern,Roman Banks,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Auburn,Tony Barbee,sports_reference_2013_coaches,1,0,0,0,0,0,0,0,1,0.5399
Texas,Rick Barnes,sports_reference_2013_coaches,20,6,1,0,14,5,1,0,36,0.9687
Cal State Bakersfield,Rod Barnes,sports_reference_2013_coaches,3,1,0,0,0,0,0,0,5,0.7977
Canisius,Jim Baron,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
ETSU,Murry Bartow,sports_reference_2013_coaches,4,0,0,0,3,0,0,0,4,0.7678
VMI,Duggar Baucom,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Vermont,John Becker,sports_reference_2013_coaches,1,0,0,0,1,0,0,0,1,0.5399
Michigan,John Beilein,sports_reference_2013_coaches,7,2,0,0,3,0,0,0,11,0.886
North Texas,Tony Benford,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Saint Mary's,Randy Bennett,sports_reference_2013_coaches,4,1,0,0,4,1,0,0,6,0.8191
Virginia,Tony Bennett,sports_reference_2013_coaches,3,1,0,0,1,0,0,0,5,0.7977
Northern Kentucky,Dave Bezold,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
UNC Asheville,Eddie Biedenbach,sports_reference_2013_coaches,3,0,0,0,3,0,0,0,3,0.7293
Sacred Heart,Dave Bike,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Syracuse,Jim Boeheim,sports_reference_2013_coaches,29,16,3,1,29,16,3,1,81,0.9943
Washington St.,Ken Bone,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
South Dakota,David Boots,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Colorado,Tad Boyle,sports_reference_2013_coaches,1,0,0,0,1,0,0,0,1,0.5399
Morgan State,Todd Bozeman,sports_reference_2013_coaches,5,1,0,0,2,0,0,0,7,0.8362
Arkansas State,John Brady,sports_reference_2013_coaches,4,2,1,0,0,0,0,0,12,0.906
James Madison,Matt Brady,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
St. Francis NY,Glenn Braica,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Cal St. Northridge,Bobby Braswell,sports_reference_2013_coaches,2,0,0,0,2,0,0,0,2,0.6624
Rice,Ben Braun,sports_reference_2013_coaches,8,2,0,0,0,0,0,0,12,0.906
Notre Dame,Mike Brey,sports_reference_2013_coaches,10,1,0,0,8,1,0,0,12,0.906
Savannah State,Horace Broadnax,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
SMU,Larry Brown,sports_reference_2013_coaches,7,4,3,1,0,0,0,0,35,0.9658
Missouri-Kansas City,Matt Brown,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Holy Cross,Milan Brown,sports_reference_2013_coaches,1,0,0,0,0,0,0,0,1,0.5399
Albany (NY),Will Brown,sports_reference_2013_coaches,2,0,0,0,2,0,0,0,2,0.6624
Clemson,Brad Brownell,sports_reference_2013_coaches,4,0,0,0,1,0,0,0,4,0.7678
Siena,Mitch Buonaguro,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
Belmont,Rick Byrd,sports_reference_2013_coaches,5,0,0,0,5,0,0,0,5,0.7977
Wake Forest,Jeff Bzdelik,sports_reference_2013_coaches,1,0,0,0,0,0,0,0,1,0.5399
Kentucky,John Calipari,sports_reference_2013_coaches,14,10,4,1,3,3,2,1,58,0.9858
Cal Poly,Joe Callero,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
USC,Bob Cantu,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Appalachian St.,Jason Capel,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Northwestern,Bill Carmody,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
Nevada,David Carter,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
South Carolina State,Murray Garvin,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Hofstra,Mo Cassara,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Penn St.,Patrick Chambers,sports_reference_2013_coaches,1,0,0,0,0,0,0,0,1,0.5399
High Point,Scott Cherry,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Mount St. Mary's,Jamion Christian,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Ohio,Jim Christian,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
Iona,Tim Cluess,sports_reference_2013_coaches,1,0,0,0,1,0,0,0,1,0.5399
Northeastern,Bill Coen,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Tulane,Ed Conroy,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Providence,Ed Cooley,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Miami OH,John Cooper,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Dartmouth,Paul Cormier,sports_reference_2013_coaches,1,0,0,0,0,0,0,0,1,0.5399
Old Dominion,Jim Corrigan,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Houston Christian,Ron Cottrell,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Cornell,Bill Courtney,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Bethune-Cookman,Gravelle Craig,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Indiana,Tom Crean,sports_reference_2013_coaches,6,2,1,0,1,1,0,0,14,0.9274
Saint Louis,Jim Crews,sports_reference_2013_coaches,4,0,0,0,0,0,0,0,4,0.7678
Cincinnati,Mick Cronin,sports_reference_2013_coaches,4,1,0,0,2,1,0,0,6,0.8191
UT Arlington,Scott Cross,sports_reference_2013_coaches,1,0,0,0,1,0,0,0,1,0.5399
Akron,Keith Dambrot,sports_reference_2013_coaches,2,0,0,0,2,0,0,0,2,0.6624
Texas State,Doug Davalos,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Central Michigan,Keno Davis,sports_reference_2013_coaches,1,0,0,0,0,0,0,0,1,0.5399
Middle Tennessee,Kermit Davis Jr,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
Texas Southern,Mike Davis,sports_reference_2013_coaches,5,1,1,0,0,0,0,0,11,0.886
Stanford,Johnny Dawkins Jr,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Navy,Ed DeChellis,sports_reference_2013_coaches,2,0,0,0,0,0,0,0,2,0.6624
Binghamton,Tommy Dempsey,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Central Connecticut,Howie Dickenman,sports_reference_2013_coaches,3,0,0,0,3,0,0,0,3,0.7293
Houston,James Dickey,sports_reference_2013_coaches,2,1,0,0,0,0,0,0,4,0.7678
Chicago State,Tracy Dildy,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Pittsburgh,Jamie Dixon,sports_reference_2013_coaches,8,3,0,0,8,3,0,0,14,0.9274
Seattle,Cameron Dollar,sports_reference_2013_coaches,0,0,0,0,0,0,0,0,0,0.2322
Boston College,Steve Donahue,sports_reference_2013_coaches,3,1,0,0,0,0,0,0,5,0.7977
