team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Lipscomb,Casey Alexander,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
North Carolina A&T,Jay Joyner,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
UCLA,Steve Alford,sports_reference_2016_coaches,9,3,0,0,2,2,0,0,15,0.9132
Oregon,Dana Altman,sports_reference_2016_coaches,11,1,0,0,3,1,0,0,13,0.902
Harvard,Tommy Amaker,sports_reference_2016_coaches,5,1,0,0,4,0,0,0,7,0.8333
Missouri,Kim Anderson,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Arkansas,Mike Anderson Sr,sports_reference_2016_coaches,7,2,0,0,1,0,0,0,11,0.8754
South Florida,Orlando Antigua,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Rider,Kevin Baggett,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Southern,Roman Banks,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Tennessee,Rick Barnes,sports_reference_2016_coaches,22,6,1,0,0,0,0,0,38,0.972
Cal State Bakersfield,Rod Barnes,sports_reference_2016_coaches,3,1,0,0,0,0,0,0,5,0.7983
Canisius,Jim Baron,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
The Citadel,Duggar Baucom,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Little Rock,Chris Beard,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Vermont,John Becker,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Michigan,John Beilein,sports_reference_2016_coaches,9,4,1,0,5,2,1,0,21,0.9468
North Texas,Tony Benford,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Saint Mary's,Randy Bennett,sports_reference_2016_coaches,5,1,0,0,5,1,0,0,7,0.8333
Virginia,Tony Bennett,sports_reference_2016_coaches,5,2,0,0,3,1,0,0,9,0.8487
Syracuse,Mike Hopkins,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Colorado,Tad Boyle,sports_reference_2016_coaches,3,0,0,0,3,0,0,0,3,0.7367
Morgan State,Todd Bozeman,sports_reference_2016_coaches,5,1,0,0,2,0,0,0,7,0.8333
Arkansas State,John Brady,sports_reference_2016_coaches,4,2,1,0,0,0,0,0,12,0.8922
James Madison,Matt Brady,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
St. Francis NY,Glenn Braica,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Northern Kentucky,John Brannen,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
American,Mike Brennan,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Jackson State,Wayne Brent,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Notre Dame,Mike Brey,sports_reference_2016_coaches,12,2,0,0,10,2,0,0,16,0.923
Savannah State,Horace Broadnax,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
SMU,Tim Jankovich,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Albany (NY),Will Brown,sports_reference_2016_coaches,5,0,0,0,5,0,0,0,5,0.7983
Clemson,Brad Brownell,sports_reference_2016_coaches,4,0,0,0,1,0,0,0,4,0.7773
Incarnate Word,Ken Burmeister,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Pacific,Mike Burns,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Georgia Southern,Mark Byington,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Belmont,Rick Byrd,sports_reference_2016_coaches,7,0,0,0,7,0,0,0,7,0.8333
Kentucky,John Calipari,sports_reference_2016_coaches,16,12,6,1,5,5,4,1,72,0.986
Cal Poly,Joe Callero,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Holy Cross,Bill Carmody,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
Niagara,Chris Casey,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Penn St.,Patrick Chambers,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
High Point,Scott Cherry,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Mount St. Mary's,Jamion Christian,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Boston College,Jim Christian,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
Iona,Tim Cluess,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Northeastern,Bill Coen,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Purdue Fort Wayne,Jon Coffman,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Maryland-Eastern Shore,Bobby Collins,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Northwestern,Chris Collins,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Tulane,Ed Conroy,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Providence,Ed Cooley,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Miami OH,John Cooper,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Dartmouth,Paul Cormier,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Houston Christian,Ron Cottrell,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Cornell,Bill Courtney,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Gardner-Webb,Tim Craft,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Bethune-Cookman,Gravelle Craig,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Indiana,Tom Crean,sports_reference_2016_coaches,8,3,1,0,3,2,0,0,18,0.9342
Saint Louis,Jim Crews,sports_reference_2016_coaches,6,0,0,0,2,0,0,0,6,0.8179
Cincinnati,Mick Cronin,sports_reference_2016_coaches,7,1,0,0,5,1,0,0,9,0.8487
UT Arlington,Scott Cross,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Troy,Phil Cunningham,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Florida Atlantic,Michael Curry,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
UC-Riverside,Dennis Cutts,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Marshall,Dan D'Antoni II,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Akron,Keith Dambrot,sports_reference_2016_coaches,3,0,0,0,3,0,0,0,3,0.7367
Green Bay,Linc Darner,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Central Michigan,Keno Davis,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Middle Tennessee,Kermit Davis Jr,sports_reference_2016_coaches,3,0,0,0,1,0,0,0,3,0.7367
Texas Southern,Mike Davis,sports_reference_2016_coaches,7,1,1,0,2,0,0,0,13,0.902
Bucknell,Nathan Davis,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Stanford,Johnny Dawkins Jr,sports_reference_2016_coaches,1,1,0,0,1,1,0,0,3,0.7367
Navy,Ed DeChellis,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
Montana,Travis DeCuire,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Binghamton,Tommy Dempsey,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Central Connecticut,Howie Dickenman,sports_reference_2016_coaches,3,0,0,0,3,0,0,0,3,0.7367
Chicago State,Tracy Dildy,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Pittsburgh,Jamie Dixon,sports_reference_2016_coaches,10,3,0,0,10,3,0,0,16,0.923
Seattle,Cameron Dollar,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Penn,Steve Donahue,sports_reference_2016_coaches,3,1,0,0,0,0,0,0,5,0.7983
Wright St.,Billy Donlon,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Florida Gulf Coast,Joe Dooley,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Valparaiso,Bryce Drew,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Baylor,Scott Drew,sports_reference_2016_coaches,5,3,0,0,5,3,0,0,11,0.8754
North Florida,Matthew Driscoll,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Loyola Marymount,Mike Dunlap,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Saint Peter's,John Dunne,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Temple,Fran Dunphy,sports_reference_2016_coaches,15,0,0,0,6,0,0,0,15,0.9132
UMass-Lowell,Pat Duquette,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Utah St.,Tim Duryea,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
VMI,Dan Earl,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Coastal Carolina,Cliff Ellis,sports_reference_2016_coaches,10,3,0,0,2,0,0,0,16,0.923
USC,Andy Enfield,sports_reference_2016_coaches,1,1,0,0,0,0,0,0,3,0.7367
NJIT,Jim Engles,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Colorado St.,Larry Eustachy,sports_reference_2016_coaches,5,1,0,0,1,0,0,0,7,0.8333
Florida International,Anthony Evans,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Idaho State,Bill Evans,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Duquesne,Jim Ferry,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
Gonzaga,Mark Few,sports_reference_2016_coaches,16,5,0,0,16,5,0,0,26,0.9524
Montana St.,Brian Fish,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
San Diego St.,Steve Fisher,sports_reference_2016_coaches,15,6,3,1,8,2,0,0,47,0.979
Drexel,Bruiser Flint,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
UTEP,Tim Floyd,sports_reference_2016_coaches,8,2,0,0,0,0,0,0,12,0.8922
ETSU,Steve Forbes,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Tennessee State,Dana Ford,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Oklahoma St.,Travis Ford,sports_reference_2016_coaches,6,0,0,0,5,0,0,0,6,0.8179
Appalachian St.,Jim Fox,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Georgia,Mark Fox,sports_reference_2016_coaches,5,0,0,0,2,0,0,0,5,0.7983
Hartford,John Gallagher,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Hawaii,Eran Ganot,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Wisconsin,Greg Gard,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
IU Indianapolis,Jason Gardner,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
South Carolina State,Murray Garvin,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Longwood,Jayson Gee,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Portland State,Tyler Geving,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Drake,Ray Giacoletti,sports_reference_2016_coaches,2,1,0,0,0,0,0,0,4,0.7773
La Salle,John Giannini,sports_reference_2016_coaches,1,1,0,0,1,1,0,0,3,0.7367
Abilene Christian,Joe Golding,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
N.C. State,Mark Gottfried,sports_reference_2016_coaches,11,3,0,0,4,2,0,0,17,0.93
Charleston,Earl Grant,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Coppin State,Michael Grant,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
South Alabama,Matthew Graves,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Jacksonville St.,James Green,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Georgia Tech,Brian Gregory,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
Illinois,John Groce,sports_reference_2016_coaches,3,1,0,0,1,0,0,0,5,0.7983
UAB,Jerod Haase,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Tulsa,Frank Haith,sports_reference_2016_coaches,3,0,0,0,0,0,0,0,3,0.7367
Florida St.,Leonard Hamilton,sports_reference_2016_coaches,7,2,0,0,4,1,0,0,11,0.8754
Nebraska Omaha,Derrin Hansen,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Western Kentucky,Ray Harper,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
SIU Edwardsville,Jon Harris,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Western Michigan,Steve Hawkins,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Alabama A&M,Willie Hayes,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Eastern Washington,Jim Hayford,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Princeton,Mitch Henderson,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Fairleigh Dickinson,Greg Herenda,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
New Hampshire,Bill Herrion,sports_reference_2016_coaches,3,0,0,0,0,0,0,0,3,0.7367
Northern Colorado,B.J. Hill,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Southern Illinois,Barry Hinson,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Texas-Rio Grande Valley,Dan Hipsher,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Mercer,Bob Hoffman,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Butler,Chris Holtmann,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Sam Houston,Jason Hooten,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Mississippi St.,Ben Howland,sports_reference_2016_coaches,10,5,3,0,0,0,0,0,32,0.9594
Bowling Green,Michael Huger,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
West Virginia,Bob Huggins,sports_reference_2016_coaches,21,7,2,0,6,3,1,0,43,0.9748
Western Carolina,Larry Hunter,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Georgia State,Ron Hunter,sports_reference_2016_coaches,2,0,0,0,1,0,0,0,2,0.6583
Arizona St.,Bobby Hurley,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Rhode Island,Dan Hurley,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Arkansas-Pine Bluff,George Ivory,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Michigan St.,Tom Izzo,sports_reference_2016_coaches,18,13,7,1,18,13,7,1,80,0.9888
Alabama St.,Lewis Jackson,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Northern Iowa,Ben Jacobson,sports_reference_2016_coaches,3,1,0,0,3,1,0,0,5,0.7983
Jacksonville,Tony Jasick,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Milwaukee,Rob Jeter,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Alabama,Avery Johnson,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Fairfield,Sydney Johnson,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
TCU,Trent Johnson,sports_reference_2016_coaches,5,2,0,0,0,0,0,0,9,0.8487
North Dakota,Brian Jones,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
UCF,Donnie Jones,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Yale,James Jones,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Old Dominion,Jeff Jones,sports_reference_2016_coaches,7,2,0,0,0,0,0,0,11,0.8754
Boston University,Joe Jones,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
LSU,Johnny Jones,sports_reference_2016_coaches,3,0,0,0,1,0,0,0,3,0.7367
Radford,Mike Jones,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Norfolk St.,Robert Jones,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Rutgers,Eddie Jordan,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Hampton,Edward Joyner Jr,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Oakland,Greg Kampe,sports_reference_2016_coaches,3,0,0,0,3,0,0,0,3,0.7367
Texas State,Danny Kaspar,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Sacramento State,Brian Katz,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Santa Clara,Kerry Keating,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
UNC Wilmington,Kevin Keatts,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Massachusetts,Derek Kellogg,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Winthrop,Pat Kelsey,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Mississippi,Andy Kennedy,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Texas A&M,Billy Kennedy,sports_reference_2016_coaches,2,0,0,0,0,0,0,0,2,0.6583
Washington St.,Ernie Kent,sports_reference_2016_coaches,6,2,0,0,0,0,0,0,10,0.8585
Louisiana Tech,Eric Konkol,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Toledo,Tod Kowalczyk,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Saint Francis (PA),Rob Krimmel,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Oklahoma,Lon Kruger,sports_reference_2016_coaches,16,4,1,0,3,1,0,0,28,0.9552
Utah,Larry Krystkowiak,sports_reference_2016_coaches,3,1,0,0,1,1,0,0,5,0.7983
Duke,Mike Krzyzewski,sports_reference_2016_coaches,31,22,12,5,31,22,12,5,163,1.0
Southeastern Louisiana,Jay Ladner,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Colgate,Matt Langel,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Indiana State,Greg Lansing,sports_reference_2016_coaches,1,0,0,0,1,0,0,0,1,0.5406
Miami FL,Jim Larranaga,sports_reference_2016_coaches,6,2,1,0,1,1,0,0,14,0.9076
Sacred Heart,Anthony Latina,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
East Carolina,Jeff Lebo,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
DePaul,Dave Leitao,sports_reference_2016_coaches,2,0,0,0,1,0,0,0,2,0.6583
UC-Davis,Jim Les,sports_reference_2016_coaches,1,1,0,0,0,0,0,0,3,0.7367
George Washington,Mike Lonergan,sports_reference_2016_coaches,2,0,0,0,1,0,0,0,2,0.6583
Austin Peay,Dave Loos,sports_reference_2016_coaches,3,0,0,0,3,0,0,0,3,0.7367
Missouri State,Paul Lusk,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Xavier,Chris Mack,sports_reference_2016_coaches,5,3,0,0,5,3,0,0,11,0.8754
Grand Canyon,Dan Majerle,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Marist,Mike Maker,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Wake Forest,Danny Manning,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Louisiana,Bob Marlin,sports_reference_2016_coaches,3,0,0,0,1,0,0,0,3,0.7367
Wichita St.,Gregg Marshall,sports_reference_2016_coaches,11,2,1,0,4,2,1,0,19,0.9384
Saint Joseph's,Phil Martelli,sports_reference_2016_coaches,6,2,0,0,6,2,0,0,10,0.8585
California,Cuonzo Martin,sports_reference_2016_coaches,1,1,0,0,0,0,0,0,3,0.7367
South Carolina,Frank Martin,sports_reference_2016_coaches,4,1,0,0,0,0,0,0,6,0.8179
Brown,Mike Martin,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Manhattan,Steve Masiello,sports_reference_2016_coaches,2,0,0,0,2,0,0,0,2,0.6583
Wagner,Bashir Mason,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Elon,Matt Matheny,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Ohio St.,Thad Matta,sports_reference_2016_coaches,13,6,2,0,9,5,2,0,33,0.9636
Iowa,Fran McCaffery,sports_reference_2016_coaches,7,0,0,0,2,0,0,0,7,0.8333
Chattanooga,Matt McCall,sports_reference_2016_coaches,0,0,0,0,0,0,0,0,0,0.2339
Detroit Mercy,Ray McCallum,sports_reference_2016_coaches,3,0,0,0,1,0,0,0,3,0.7367
Illinois Chicago,Steve McClain,sports_reference_2016_coaches,1,0,0,0,0,0,0,0,1,0.5406
Northwestern State,Mike McConathy,sports_reference_2016_coaches,3,0,0,0,3,0,0,0,3,0.7367
