team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Lipscomb,Casey Alexander,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
North Carolina A&T,Cy Alexander,sports_reference_2015_coaches,6,0,0,0,1,0,0,0,6,0.8111
UCLA,Steve Alford,sports_reference_2015_coaches,8,2,0,0,1,1,0,0,12,0.892
Penn,Jerome Allen,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Oregon,Dana Altman,sports_reference_2015_coaches,10,1,0,0,2,1,0,0,12,0.892
Harvard,Tommy Amaker,sports_reference_2015_coaches,4,1,0,0,3,0,0,0,6,0.8111
Missouri,Kim Anderson,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Arkansas,Mike Anderson Sr,sports_reference_2015_coaches,6,2,0,0,0,0,0,0,10,0.8622
South Florida,Orlando Antigua,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Rider,Kevin Baggett,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Southern,Roman Banks,sports_reference_2015_coaches,1,0,0,0,1,0,0,0,1,0.5369
Texas,Rick Barnes,sports_reference_2015_coaches,21,6,1,0,15,5,1,0,37,0.9688
Cal State Bakersfield,Rod Barnes,sports_reference_2015_coaches,3,1,0,0,0,0,0,0,5,0.7926
Canisius,Jim Baron,sports_reference_2015_coaches,2,0,0,0,0,0,0,0,2,0.6491
ETSU,Murry Bartow,sports_reference_2015_coaches,4,0,0,0,3,0,0,0,4,0.7713
VMI,Duggar Baucom,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Vermont,John Becker,sports_reference_2015_coaches,1,0,0,0,1,0,0,0,1,0.5369
Michigan,John Beilein,sports_reference_2015_coaches,9,4,1,0,5,2,1,0,21,0.946
North Texas,Tony Benford,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Saint Mary's,Randy Bennett,sports_reference_2015_coaches,5,1,0,0,5,1,0,0,7,0.8281
Virginia,Tony Bennett,sports_reference_2015_coaches,4,2,0,0,2,1,0,0,8,0.8381
Northern Kentucky,Dave Bezold,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Syracuse,Jim Boeheim,sports_reference_2015_coaches,31,17,4,1,31,17,4,1,89,0.9943
Colorado,Tad Boyle,sports_reference_2015_coaches,3,0,0,0,3,0,0,0,3,0.723
Morgan State,Todd Bozeman,sports_reference_2015_coaches,5,1,0,0,2,0,0,0,7,0.8281
Arkansas State,John Brady,sports_reference_2015_coaches,4,2,1,0,0,0,0,0,12,0.892
James Madison,Matt Brady,sports_reference_2015_coaches,1,0,0,0,1,0,0,0,1,0.5369
St. Francis NY,Glenn Braica,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Alabama,John Brannen,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
American,Mike Brennan,sports_reference_2015_coaches,1,0,0,0,1,0,0,0,1,0.5369
Jackson State,Wayne Brent,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Notre Dame,Mike Brey,sports_reference_2015_coaches,11,1,0,0,9,1,0,0,13,0.9048
Savannah State,Horace Broadnax,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
SMU,Larry Brown,sports_reference_2015_coaches,7,4,3,1,0,0,0,0,35,0.9659
Holy Cross,Milan Brown,sports_reference_2015_coaches,1,0,0,0,0,0,0,0,1,0.5369
Albany (NY),Will Brown,sports_reference_2015_coaches,4,0,0,0,4,0,0,0,4,0.7713
Clemson,Brad Brownell,sports_reference_2015_coaches,4,0,0,0,1,0,0,0,4,0.7713
Incarnate Word,Ken Burmeister,sports_reference_2015_coaches,1,0,0,0,0,0,0,0,1,0.5369
Georgia Southern,Mark Byington,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Belmont,Rick Byrd,sports_reference_2015_coaches,6,0,0,0,6,0,0,0,6,0.8111
Kentucky,John Calipari,sports_reference_2015_coaches,15,11,5,1,4,4,3,1,65,0.9858
Cal Poly,Joe Callero,sports_reference_2015_coaches,1,0,0,0,1,0,0,0,1,0.5369
Nevada,David Carter,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Niagara,Chris Casey,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Penn St.,Patrick Chambers,sports_reference_2015_coaches,1,0,0,0,0,0,0,0,1,0.5369
High Point,Scott Cherry,sports_reference_2015_coaches,0,0,0,0,0,0,0,0,0,0.2315
Mount St. Mary's,Jamion Christian,sports_reference_2015_coaches,1,0,0,0,1,0,0,0,1,0.5369
