team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Northern Arizona,Mike Adras,sports_reference_2009_coaches,1,0,0,0,1,0,0,0,1,0.5259
Brown,Jesse Agel,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Tennessee State,Mark Pittman,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
New Mexico,Steve Alford,sports_reference_2009_coaches,4,1,0,0,0,0,0,0,6,0.8329
Maryland-Eastern Shore,Frankie Allen,sports_reference_2009_coaches,2,0,0,0,0,0,0,0,2,0.6441
Creighton,Dana Altman,sports_reference_2009_coaches,8,0,0,0,7,0,0,0,8,0.8573
Harvard,Tommy Amaker,sports_reference_2009_coaches,1,1,0,0,0,0,0,0,3,0.7147
Missouri,Mike Anderson Sr,sports_reference_2009_coaches,3,1,0,0,0,0,0,0,5,0.8084
Jackson State,Tevester Anderson,sports_reference_2009_coaches,3,0,0,0,1,0,0,0,3,0.7147
South Alabama,Ronnie Arrow,sports_reference_2009_coaches,4,0,0,0,3,0,0,0,4,0.768
Pepperdine,Tom Asbury,sports_reference_2009_coaches,4,0,0,0,3,0,0,0,4,0.768
Florida Gulf Coast,Dave Balza,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
UTEP,Tony Barbee,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Texas,Rick Barnes,sports_reference_2009_coaches,16,6,1,0,10,5,1,0,32,0.9683
Georgia State,Rod Barnes,sports_reference_2009_coaches,3,1,0,0,0,0,0,0,5,0.8084
Rhode Island,Jim Baron,sports_reference_2009_coaches,2,0,0,0,0,0,0,0,2,0.6441
ETSU,Murry Bartow,sports_reference_2009_coaches,2,0,0,0,1,0,0,0,2,0.6441
VMI,Duggar Baucom,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Loyola Marymount,Max Good,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Michigan,John Beilein,sports_reference_2009_coaches,4,2,0,0,0,0,0,0,8,0.8573
Saint Mary's,Randy Bennett,sports_reference_2009_coaches,2,0,0,0,2,0,0,0,2,0.6441
Washington St.,Tony Bennett,sports_reference_2009_coaches,2,1,0,0,2,1,0,0,4,0.768
UNC Asheville,Eddie Biedenbach,sports_reference_2009_coaches,1,0,0,0,1,0,0,0,1,0.5259
Sacred Heart,Dave Bike,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Syracuse,Jim Boeheim,sports_reference_2009_coaches,25,13,3,1,25,13,3,1,71,0.9942
Portland State,Ken Bone,sports_reference_2009_coaches,1,0,0,0,1,0,0,0,1,0.5259
Northern Colorado,Tad Boyle,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Utah,Jim Boylen,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Morgan State,Todd Bozeman,sports_reference_2009_coaches,3,1,0,0,0,0,0,0,5,0.8084
Arkansas State,John Brady,sports_reference_2009_coaches,4,2,1,0,0,0,0,0,12,0.9179
James Madison,Matt Brady,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Cal St. Northridge,Bobby Braswell,sports_reference_2009_coaches,1,0,0,0,1,0,0,0,1,0.5259
Rice,Ben Braun,sports_reference_2009_coaches,8,2,0,0,0,0,0,0,12,0.9179
Notre Dame,Mike Brey,sports_reference_2009_coaches,7,1,0,0,5,1,0,0,9,0.8746
Savannah State,Horace Broadnax,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Binghamton,Kevin Broadus,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Cal Poly,Kevin Bromley,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Cal State Bakersfield,Keith Brown,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Kansas City,Matt Brown,sports_reference_2009_coaches,0,0,0,0,0,0,0,0,0,0.2233
Mount St. Mary's,Milan Brown,sports_reference_2009_coaches,1,0,0,0,1,0,0,0,1,0.5259
Albany (NY),Will Brown,sports_reference_2009_coaches,2,0,0,0,2,0,0,0,2,0.6441
