team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Northern Arizona,Mike Adras,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Brown,Jesse Agel,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
New Mexico,Steve Alford,sports_reference_2011_coaches,5,1,0,0,1,0,0,0,7,0.8377
Maryland-Eastern Shore,Frankie Allen,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
Penn,Jerome Allen,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Oregon,Dana Altman,sports_reference_2011_coaches,8,0,0,0,0,0,0,0,8,0.8493
Harvard,Tommy Amaker,sports_reference_2011_coaches,1,1,0,0,0,0,0,0,3,0.7159
Missouri,Mike Anderson Sr,sports_reference_2011_coaches,5,2,0,0,2,1,0,0,9,0.8652
Jackson State,Tevester Anderson,sports_reference_2011_coaches,3,0,0,0,1,0,0,0,3,0.7159
Hawaii,Gib Arnold,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
South Alabama,Ronnie Arrow,sports_reference_2011_coaches,4,0,0,0,3,0,0,0,4,0.7667
Pepperdine,Tom Asbury,sports_reference_2011_coaches,4,0,0,0,3,0,0,0,4,0.7667
Florida Gulf Coast,Dave Balza,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Auburn,Tony Barbee,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Texas,Rick Barnes,sports_reference_2011_coaches,18,6,1,0,12,5,1,0,34,0.9623
Georgia State,Rod Barnes,sports_reference_2011_coaches,3,1,0,0,0,0,0,0,5,0.8029
Rhode Island,Jim Baron,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
ETSU,Murry Bartow,sports_reference_2011_coaches,4,0,0,0,3,0,0,0,4,0.7667
VMI,Duggar Baucom,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Michigan,John Beilein,sports_reference_2011_coaches,5,2,0,0,1,0,0,0,9,0.8652
Saint Mary's,Randy Bennett,sports_reference_2011_coaches,3,1,0,0,3,1,0,0,5,0.8029
Virginia,Tony Bennett,sports_reference_2011_coaches,2,1,0,0,0,0,0,0,4,0.7667
UNC Asheville,Eddie Biedenbach,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Sacred Heart,Dave Bike,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Syracuse,Jim Boeheim,sports_reference_2011_coaches,27,15,3,1,27,15,3,1,77,0.9913
Washington St.,Ken Bone,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
South Dakota,David Boots,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Colorado,Tad Boyle,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Utah,Jim Boylen,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Morgan State,Todd Bozeman,sports_reference_2011_coaches,5,1,0,0,2,0,0,0,7,0.8377
Arkansas State,John Brady,sports_reference_2011_coaches,4,2,1,0,0,0,0,0,12,0.9043
James Madison,Matt Brady,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
St. Francis NY,Glenn Braica,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Cal St. Northridge,Bobby Braswell,sports_reference_2011_coaches,2,0,0,0,2,0,0,0,2,0.6406
Rice,Ben Braun,sports_reference_2011_coaches,8,2,0,0,0,0,0,0,12,0.9043
Notre Dame,Mike Brey,sports_reference_2011_coaches,8,1,0,0,6,1,0,0,10,0.8826
Savannah State,Horace Broadnax,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Cal State Bakersfield,Keith Brown,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Missouri-Kansas City,Matt Brown,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Holy Cross,Milan Brown,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Albany (NY),Will Brown,sports_reference_2011_coaches,2,0,0,0,2,0,0,0,2,0.6406
Clemson,Brad Brownell,sports_reference_2011_coaches,3,0,0,0,0,0,0,0,3,0.7159
Siena,Mitch Buonaguro,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
Mount St. Mary's,Robert Burke,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Cal St. Fullerton,Bob Burton,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Belmont,Rick Byrd,sports_reference_2011_coaches,3,0,0,0,3,0,0,0,3,0.7159
Wake Forest,Jeff Bzdelik,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Connecticut,Jim Calhoun,sports_reference_2011_coaches,21,12,3,3,16,12,3,3,81,0.9942
Kentucky,John Calipari,sports_reference_2011_coaches,12,8,2,0,1,1,0,0,36,0.9652
Cal Poly,Joe Callero,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Monmouth,Dave Calloway,sports_reference_2011_coaches,3,0,0,0,3,0,0,0,3,0.7159
Appalachian St.,Jason Capel,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Oklahoma,Jeff Capel III,sports_reference_2011_coaches,3,1,0,0,2,1,0,0,5,0.8029
Northwestern,Bill Carmody,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
Nevada,David Carter,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
South Carolina State,Tim Carter,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
Hofstra,Mo Cassara,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Boston University,Patrick Chambers,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
High Point,Scott Cherry,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
TCU,Jim Christian,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
Texas A&M-Corpus Christi,Perry Clark,sports_reference_2011_coaches,4,0,0,0,0,0,0,0,4,0.7667
Fresno St.,Steve Cleveland,sports_reference_2011_coaches,3,0,0,0,0,0,0,0,3,0.7159
Iona,Tim Cluess,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Northeastern,Bill Coen,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Miami OH,Charlie Coles,sports_reference_2011_coaches,4,1,0,0,3,1,0,0,6,0.8246
Tulane,Ed Conroy,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Fairfield,Ed Cooley,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Tennessee State,John Cooper,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Dartmouth,Paul Cormier,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Houston Christian,Ron Cottrell,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Cornell,Bill Courtney,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Indiana,Tom Crean,sports_reference_2011_coaches,5,1,1,0,0,0,0,0,11,0.8913
Charleston,Bobby Cremins,sports_reference_2011_coaches,11,5,1,0,0,0,0,0,25,0.9565
Cincinnati,Mick Cronin,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
UT Arlington,Scott Cross,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Akron,Keith Dambrot,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Texas State,Doug Davalos,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Colgate,Emmett Davis,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Providence,Keno Davis,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Middle Tennessee,Kermit Davis Jr,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
UAB,Mike Davis,sports_reference_2011_coaches,4,1,1,0,0,0,0,0,10,0.8826
Stanford,Johnny Dawkins Jr,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Penn St.,Ed DeChellis,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
UNC Greensboro,Mike Dement,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Rider,Tommy Dempsey,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Central Connecticut,Howie Dickenman,sports_reference_2011_coaches,3,0,0,0,3,0,0,0,3,0.7159
Houston,James Dickey,sports_reference_2011_coaches,2,1,0,0,0,0,0,0,4,0.7667
Chicago State,Tracy Dildy,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Pittsburgh,Jamie Dixon,sports_reference_2011_coaches,7,3,0,0,7,3,0,0,13,0.9174
SMU,Matt Doherty,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Seattle,Cameron Dollar,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Boston College,Steve Donahue,sports_reference_2011_coaches,3,1,0,0,0,0,0,0,5,0.8029
Wright St.,Billy Donlon,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Florida,Billy Donovan,sports_reference_2011_coaches,10,4,3,2,10,4,3,2,46,0.9783
Valparaiso,Homer Drew,sports_reference_2011_coaches,7,1,0,0,7,1,0,0,9,0.8652
Baylor,Scott Drew,sports_reference_2011_coaches,2,1,0,0,2,1,0,0,4,0.7667
The Citadel,Chuck Driesell,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
North Florida,Matthew Driscoll,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Saint Peter's,John Dunne,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Temple,Fran Dunphy,sports_reference_2011_coaches,12,0,0,0,3,0,0,0,12,0.9043
Eastern Washington,Kirk Earlywine,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
North Carolina A&T,Jerry Eaves,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Coastal Carolina,Cliff Ellis,sports_reference_2011_coaches,8,3,0,0,0,0,0,0,14,0.9232
NJIT,Jim Engles,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Southern Miss,Larry Eustachy,sports_reference_2011_coaches,3,1,0,0,0,0,0,0,5,0.8029
Norfolk St.,Anthony Evans,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Duquesne,Ron Everhart,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
LIU,Jim Ferry,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Gonzaga,Mark Few,sports_reference_2011_coaches,11,4,0,0,11,4,0,0,19,0.942
Purdue Fort Wayne,Dane Fife,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
San Diego St.,Steve Fisher,sports_reference_2011_coaches,10,4,3,1,3,0,0,0,38,0.971
Drexel,Bruiser Flint,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
UTEP,Tim Floyd,sports_reference_2011_coaches,8,2,0,0,0,0,0,0,12,0.9043
Kent St.,Geno Ford,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Oklahoma St.,Travis Ford,sports_reference_2011_coaches,3,0,0,0,2,0,0,0,3,0.7159
SIU Edwardsville,Lennox Forrester,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Georgia,Mark Fox,sports_reference_2011_coaches,3,0,0,0,0,0,0,0,3,0.7159
Saint Francis (PA),Don Friday,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Hartford,John Gallagher,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Portland State,Tyler Geving,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
La Salle,John Giannini,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Longwood,Mike Gillian,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Loyola Marymount,Max Good,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Alabama,Anthony Grant,sports_reference_2011_coaches,2,0,0,0,0,0,0,0,2,0.6406
Jacksonville St.,James Green,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
Radford,Brad Greenberg,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Virginia Tech,Seth Greenberg,sports_reference_2011_coaches,3,0,0,0,1,0,0,0,3,0.7159
Dayton,Brian Gregory,sports_reference_2011_coaches,2,0,0,0,2,0,0,0,2,0.6406
San Diego,Bill Grier,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Ohio,John Groce,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Miami FL,Frank Haith,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Florida St.,Leonard Hamilton,sports_reference_2011_coaches,5,1,0,0,2,0,0,0,7,0.8377
Florida A&M,Eugene Harris,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Texas Southern,Tony Harvey,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Western Michigan,Steve Hawkins,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
South Florida,Stan Heath,sports_reference_2011_coaches,3,1,0,0,0,0,0,0,5,0.8029
New Hampshire,Bill Herrion,sports_reference_2011_coaches,3,0,0,0,0,0,0,0,3,0.7159
Marshall,Tom Herrion,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Georgia Tech,Paul Hewitt,sports_reference_2011_coaches,6,1,1,0,5,1,1,0,12,0.9043
Northern Colorado,B.J. Hill,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
George Washington,Karl Hobbs,sports_reference_2011_coaches,3,0,0,0,3,0,0,0,3,0.7159
Mercer,Bob Hoffman,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Iowa St.,Fred Hoiberg,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Gardner-Webb,Chris Holtmann,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Sam Houston,Jason Hooten,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
South Carolina,Darrin Horn,sports_reference_2011_coaches,1,1,0,0,0,0,0,0,3,0.7159
UCLA,Ben Howland,sports_reference_2011_coaches,8,5,3,0,5,3,3,0,30,0.9594
West Virginia,Bob Huggins,sports_reference_2011_coaches,18,6,2,0,3,2,1,0,38,0.971
Utah Valley,Dick Hunsaker,sports_reference_2011_coaches,2,1,0,0,0,0,0,0,4,0.7667
Western Carolina,Larry Hunter,sports_reference_2011_coaches,1,0,0,0,0,0,0,0,1,0.5203
IU Indianapolis,Ron Hunter,sports_reference_2011_coaches,1,0,0,0,1,0,0,0,1,0.5203
Wagner,Dan Hurley,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Montana St.,Brad Huse,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
Kennesaw St.,Tony Ingle,sports_reference_2011_coaches,0,0,0,0,0,0,0,0,0,0.2217
