team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Detroit Mercy,Bacari Alexander,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Lipscomb,Casey Alexander,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
UCLA,Steve Alford,sports_reference_2018_coaches,10,4,0,0,3,3,0,0,18,0.9429
Army,Jimmy Allen,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Oregon,Dana Altman,sports_reference_2018_coaches,13,3,1,0,5,3,1,0,23,0.9554
Harvard,Tommy Amaker,sports_reference_2018_coaches,5,1,0,0,4,0,0,0,7,0.8552
Arkansas,Mike Anderson Sr,sports_reference_2018_coaches,8,2,0,0,2,0,0,0,12,0.8983
Rider,Kevin Baggett,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Arkansas State,Mike Balado,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Milwaukee,Pat Baldwin,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Tennessee,Rick Barnes,sports_reference_2018_coaches,22,6,1,0,0,0,0,0,38,0.9749
Cal State Bakersfield,Rod Barnes,sports_reference_2018_coaches,4,1,0,0,1,0,0,0,6,0.8384
Colorado St.,Jase Herl,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
The Citadel,Duggar Baucom,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Texas Tech,Chris Beard,sports_reference_2018_coaches,1,0,0,0,0,0,0,0,1,0.5627
Vermont,John Becker,sports_reference_2018_coaches,2,0,0,0,2,0,0,0,2,0.6797
Michigan,John Beilein,sports_reference_2018_coaches,11,5,1,0,7,3,1,0,25,0.9638
UC-Riverside,Justin Bell,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Saint Mary's,Randy Bennett,sports_reference_2018_coaches,6,1,0,0,6,1,0,0,8,0.8649
Virginia,Tony Bennett,sports_reference_2018_coaches,7,3,0,0,5,2,0,0,13,0.9109
Denver,Rodney Billups,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Stony Brook,Jeff Boals,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Syracuse,Jim Boeheim,sports_reference_2018_coaches,32,18,5,1,32,18,5,1,96,0.9944
Colorado,Tad Boyle,sports_reference_2018_coaches,4,0,0,0,4,0,0,0,4,0.7799
Oklahoma St.,Michael Boynton,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Morgan State,Todd Bozeman,sports_reference_2018_coaches,5,1,0,0,2,0,0,0,7,0.8552
St. Francis NY,Glenn Braica,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Northern Kentucky,John Brannen,sports_reference_2018_coaches,1,0,0,0,1,0,0,0,1,0.5627
American,Mike Brennan,sports_reference_2018_coaches,1,0,0,0,1,0,0,0,1,0.5627
Jackson State,Wayne Brent,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Notre Dame,Mike Brey,sports_reference_2018_coaches,14,3,0,0,12,3,0,0,20,0.9471
Savannah State,Horace Broadnax,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Albany (NY),Will Brown,sports_reference_2018_coaches,5,0,0,0,5,0,0,0,5,0.8134
Clemson,Brad Brownell,sports_reference_2018_coaches,4,0,0,0,1,0,0,0,4,0.7799
Incarnate Word,Ken Burmeister,sports_reference_2018_coaches,1,0,0,0,0,0,0,0,1,0.5627
Georgia Southern,Mark Byington,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Belmont,Rick Byrd,sports_reference_2018_coaches,7,0,0,0,7,0,0,0,7,0.8552
Youngstown State,Jerrod Calhoun,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
Kentucky,John Calipari,sports_reference_2018_coaches,18,13,6,1,7,6,4,1,76,0.9889
Cal Poly,Joe Callero,sports_reference_2018_coaches,1,0,0,0,1,0,0,0,1,0.5627
Holy Cross,Bill Carmody,sports_reference_2018_coaches,3,0,0,0,1,0,0,0,3,0.7382
Niagara,Chris Casey,sports_reference_2018_coaches,0,0,0,0,0,0,0,0,0,0.2396
