team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Kennesaw St.,Amir Abdur-Rahim,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Lipscomb,Lennie Acuff,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Texas Tech,Corey Williams,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
McNeese St.,John Aiken,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Longwood,Griff Aldrich,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Belmont,Casey Alexander,sports_reference_2023_coaches,1,0,0,0,0,0,0,0,1,0.5791
Nevada,Steve Alford,sports_reference_2023_coaches,11,4,0,0,0,0,0,0,19,0.945
Army,Jimmy Allen,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Oregon,Dana Altman,sports_reference_2023_coaches,15,5,1,0,7,5,1,0,29,0.9678
Harvard,Tommy Amaker,sports_reference_2023_coaches,5,1,0,0,4,0,0,0,7,0.87
St. John's,Mike Anderson Sr,sports_reference_2023_coaches,9,2,0,0,0,0,0,0,13,0.9209
Fairleigh Dickinson,Tobin Anderson,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Rider,Kevin Baggett,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Arkansas State,Mike Balado,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Florida International,Jeremy Ballard,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Central Michigan,Tony Barbee,sports_reference_2023_coaches,1,0,0,0,0,0,0,0,1,0.5791
Tennessee,Rick Barnes,sports_reference_2023_coaches,26,7,1,0,4,1,0,0,44,0.9812
Cal State Bakersfield,Rod Barnes,sports_reference_2023_coaches,4,1,0,0,1,0,0,0,6,0.8432
SIU Edwardsville,Brian Barone,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Texas,Rodney Terry,sports_reference_2023_coaches,1,0,0,0,0,0,0,0,1,0.5791
Vermont,John Becker,sports_reference_2023_coaches,4,0,0,0,4,0,0,0,4,0.7855
Saint Mary's,Randy Bennett,sports_reference_2023_coaches,8,1,0,0,8,1,0,0,10,0.8981
Virginia,Tony Bennett,sports_reference_2023_coaches,10,4,1,1,8,3,1,1,30,0.9705
Howard,Kenneth Blakeney,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Ohio,Jeff Boals,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Syracuse,Jim Boeheim,sports_reference_2023_coaches,35,20,5,1,35,20,5,1,103,1.0
Central Arkansas,Anthony Boone,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Colorado,Tad Boyle,sports_reference_2023_coaches,5,0,0,0,5,0,0,0,5,0.8097
Oklahoma St.,Michael Boynton,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Arkansas-Pine Bluff,Solomon Bozeman,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
St. Francis NY,Glenn Braica,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
American,Mike Brennan,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Notre Dame,Mike Brey,sports_reference_2023_coaches,15,3,0,0,13,3,0,0,21,0.9504
Morgan State,Kevin Broadus,sports_reference_2023_coaches,1,0,0,0,0,0,0,0,1,0.5791
Lamar,Alvin Brooks,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Wichita St.,Isaac Brown,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Clemson,Brad Brownell,sports_reference_2023_coaches,6,1,0,0,3,1,0,0,8,0.8807
Northern Arizona,Shane Burcar,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Georgia Southern,Brian Burg,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northern Illinois,Rashon Burno,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Alcorn State,Landon Bussie,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
James Madison,Mark Byington,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Youngstown State,Jerrod Calhoun,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Kentucky,John Calipari,sports_reference_2023_coaches,21,15,6,1,10,8,4,1,83,0.9906
Pittsburgh,Jeff Capel III,sports_reference_2023_coaches,3,1,0,0,0,0,0,0,5,0.8097
George Washington,Chris Caputo,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Mississippi,Win Case,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Florida Gulf Coast,Patrick Chambers,sports_reference_2023_coaches,1,0,0,0,0,0,0,0,1,0.5791
Nicholls State,Austin Claunch,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Idaho,Tim Marrion,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Hofstra,Speedy Claxton,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Southern Utah,Flynn Clayman,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Portland State,Jase Coburn,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northeastern,Bill Coen,sports_reference_2023_coaches,2,0,0,0,2,0,0,0,2,0.6863
Purdue Fort Wayne,Jon Coffman,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Tennessee State,Brian Collins,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Northwestern,Chris Collins,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
The Citadel,Ed Conroy,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Providence,Ed Cooley,sports_reference_2023_coaches,6,1,0,0,6,1,0,0,8,0.8807
Wagner,Donald Copeland,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Houston Christian,Ron Cottrell,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Gardner-Webb,Tim Craft,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Maryland-Eastern Shore,Jason Crafton,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
IU Indianapolis,Matt Crenshaw,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
UCLA,Mick Cronin,sports_reference_2023_coaches,13,3,1,0,2,2,1,0,23,0.9571
Troy,Scott Cross,sports_reference_2023_coaches,1,0,0,0,0,0,0,0,1,0.5791
Cal Baptist,Rick Croy,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Nebraska Omaha,Chris Crutchfield,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Incarnate Word,Carson Cunningham,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
Marshall,Dan D'Antoni II,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Duquesne,Keith Dambrot,sports_reference_2023_coaches,3,0,0,0,0,0,0,0,3,0.7453
Bellarmine,Scott Davenport,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
North Carolina,Hubert Davis,sports_reference_2023_coaches,1,1,1,0,1,1,1,0,7,0.87
Detroit Mercy,Mike Davis,sports_reference_2023_coaches,9,1,1,0,0,0,0,0,15,0.929
Bucknell,Nathan Davis,sports_reference_2023_coaches,2,0,0,0,2,0,0,0,2,0.6863
UCF,Johnny Dawkins Jr,sports_reference_2023_coaches,2,1,0,0,1,0,0,0,4,0.7855
Navy,Ed DeChellis,sports_reference_2023_coaches,2,0,0,0,0,0,0,0,2,0.6863
Montana,Travis DeCuire,sports_reference_2023_coaches,2,0,0,0,2,0,0,0,2,0.6863
Drake,Darian DeVries,sports_reference_2023_coaches,1,0,0,0,1,0,0,0,1,0.5791
Hartford,Tom Devitt,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
USC Upstate,Dave Dickerson,sports_reference_2023_coaches,0,0,0,0,0,0,0,0,0,0.2493
