team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Alabama,Nate Oats,sports_reference_2022_coaches,4,1,0,0,1,1,0,0,6,0.8397
Utah St.,Ryan Odom,sports_reference_2022_coaches,1,0,0,0,0,0,0,0,1,0.5603
UC San Diego,Eric Olen,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
ETSU,Desmond Oliver,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Iowa St.,T.J. Otzelberger,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
Miami OH,Jack Owens,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Purdue,Matt Painter,sports_reference_2022_coaches,13,5,0,0,12,5,0,0,23,0.9507
Chattanooga,Lamont Paris,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
UCSB,Joe Pasternack,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Georgia Tech,Josh Pastner,sports_reference_2022_coaches,5,0,0,0,1,0,0,0,5,0.8096
Niagara,Greg Paulus,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Auburn,Bruce Pearl,sports_reference_2022_coaches,10,5,1,0,2,1,1,0,24,0.9534
Tennessee Tech,John Pelphrey,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
Rice,Scott Pera,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Pacific,Leonard Perry,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Rutgers,Steve Pikiell,sports_reference_2022_coaches,2,0,0,0,1,0,0,0,2,0.674
Florida,Al Pinkins,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
New Mexico,Richard Pitino,sports_reference_2022_coaches,2,0,0,0,0,0,0,0,2,0.674
Iona,Rick Pitino,sports_reference_2022_coaches,22,13,7,2,1,0,0,0,92,0.9945
BYU,Mark Pope,sports_reference_2022_coaches,1,0,0,0,1,0,0,0,1,0.5603
Winthrop,Mark Prosser,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
North Alabama,Tony Pujol,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Charleston Southern,Barclay Radebaugh,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Weber State,Randy Rahe,sports_reference_2022_coaches,3,0,0,0,3,0,0,0,3,0.7452
Lehigh,Brett Reed,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
VCU,Mike Rhoades,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
Monmouth,King Rice,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Boise St.,Leon Rice,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
Louisiana-Monroe,Keith Richard,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Furman,Bob Richey,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
North Dakota St.,David Richman,sports_reference_2022_coaches,2,0,0,0,2,0,0,0,2,0.674
UT-Martin,Ryan Ridder,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
Eastern Washington,David Riley,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
South Alabama,Richie Riley,sports_reference_2022_coaches,0,0,0,0,0,0,0,0,0,0.2452
