team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Longwood,Griff Aldrich,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Lipscomb,Casey Alexander,sports_reference_2019_coaches,1,0,0,0,1,0,0,0,1,0.5339
UCLA,Murry Bartow,sports_reference_2019_coaches,4,0,0,0,0,0,0,0,4,0.7641
Army,Jimmy Allen,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Oregon,Dana Altman,sports_reference_2019_coaches,13,3,1,0,5,3,1,0,23,0.952
Harvard,Tommy Amaker,sports_reference_2019_coaches,5,1,0,0,4,0,0,0,7,0.8475
Arkansas,Mike Anderson Sr,sports_reference_2019_coaches,9,2,0,0,3,0,0,0,13,0.8983
Rider,Kevin Baggett,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Arkansas State,Mike Balado,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Milwaukee,Pat Baldwin,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Florida International,Jeremy Ballard,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Tennessee,Rick Barnes,sports_reference_2019_coaches,23,6,1,0,1,0,0,0,39,0.9732
Cal State Bakersfield,Rod Barnes,sports_reference_2019_coaches,4,1,0,0,1,0,0,0,6,0.8277
Maine,Richard Barron,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
The Citadel,Duggar Baucom,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Texas Tech,Chris Beard,sports_reference_2019_coaches,2,1,0,0,1,1,0,0,4,0.7641
Vermont,John Becker,sports_reference_2019_coaches,2,0,0,0,2,0,0,0,2,0.6525
Michigan,John Beilein,sports_reference_2019_coaches,12,6,2,0,8,4,2,0,32,0.9647
LSU,Tony Benford,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Saint Mary's,Randy Bennett,sports_reference_2019_coaches,6,1,0,0,6,1,0,0,8,0.8602
Virginia,Tony Bennett,sports_reference_2019_coaches,8,3,0,1,6,2,0,1,22,0.9477
Denver,Rodney Billups,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Stony Brook,Jeff Boals,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Syracuse,Jim Boeheim,sports_reference_2019_coaches,33,19,5,1,33,19,5,1,99,0.9944
Colorado,Tad Boyle,sports_reference_2019_coaches,4,0,0,0,4,0,0,0,4,0.7641
Oklahoma St.,Michael Boynton,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Morgan State,Todd Bozeman,sports_reference_2019_coaches,5,1,0,0,2,0,0,0,7,0.8475
St. Francis NY,Glenn Braica,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Northern Kentucky,John Brannen,sports_reference_2019_coaches,1,0,0,0,1,0,0,0,1,0.5339
American,Mike Brennan,sports_reference_2019_coaches,1,0,0,0,1,0,0,0,1,0.5339
Jackson State,Wayne Brent,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Notre Dame,Mike Brey,sports_reference_2019_coaches,14,3,0,0,12,3,0,0,20,0.9407
Savannah State,Horace Broadnax,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Albany (NY),Will Brown,sports_reference_2019_coaches,5,0,0,0,5,0,0,0,5,0.7994
Clemson,Brad Brownell,sports_reference_2019_coaches,5,1,0,0,2,1,0,0,7,0.8475
Georgia Southern,Mark Byington,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Belmont,Rick Byrd,sports_reference_2019_coaches,7,0,0,0,7,0,0,0,7,0.8475
Youngstown State,Jerrod Calhoun,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Kentucky,John Calipari,sports_reference_2019_coaches,19,14,6,1,8,7,4,1,79,0.9887
Cal Poly,Joe Callero,sports_reference_2019_coaches,1,0,0,0,1,0,0,0,1,0.5339
Pittsburgh,Jeff Capel III,sports_reference_2019_coaches,3,1,0,0,0,0,0,0,5,0.7994
Holy Cross,Bill Carmody,sports_reference_2019_coaches,3,0,0,0,1,0,0,0,3,0.7175
Niagara,Chris Casey,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Penn St.,Patrick Chambers,sports_reference_2019_coaches,1,0,0,0,0,0,0,0,1,0.5339
Siena,Jamion Christian,sports_reference_2019_coaches,2,0,0,0,0,0,0,0,2,0.6525
Boston College,Jim Christian,sports_reference_2019_coaches,2,0,0,0,0,0,0,0,2,0.6525
Nicholls State,Austin Claunch,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Iona,Tim Cluess,sports_reference_2019_coaches,5,0,0,0,5,0,0,0,5,0.7994
Northeastern,Bill Coen,sports_reference_2019_coaches,1,0,0,0,1,0,0,0,1,0.5339
Purdue Fort Wayne,Jon Coffman,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Tennessee State,Brian Collins,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Northwestern,Chris Collins,sports_reference_2019_coaches,1,0,0,0,1,0,0,0,1,0.5339
Providence,Ed Cooley,sports_reference_2019_coaches,5,0,0,0,5,0,0,0,5,0.7994
Houston Christian,Ron Cottrell,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
Rhode Island,David Cox,sports_reference_2019_coaches,0,0,0,0,0,0,0,0,0,0.226
