team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Kennesaw St.,Amir Abdur-Rahim,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Lipscomb,Lennie Acuff,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Longwood,Griff Aldrich,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Belmont,Casey Alexander,sports_reference_2021_coaches,1,0,0,0,0,0,0,0,1,0.5529
Nevada,Steve Alford,sports_reference_2021_coaches,11,4,0,0,0,0,0,0,19,0.93
Army,Jimmy Allen,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Oregon,Dana Altman,sports_reference_2021_coaches,14,4,1,0,6,4,1,0,26,0.9543
St. John's,Mike Anderson Sr,sports_reference_2021_coaches,9,2,0,0,0,0,0,0,13,0.8986
Rider,Kevin Baggett,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Arkansas State,Mike Balado,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Milwaukee,Pat Baldwin,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Florida International,Jeremy Ballard,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Tennessee,Rick Barnes,sports_reference_2021_coaches,24,7,1,0,2,1,0,0,42,0.97
Cal State Bakersfield,Rod Barnes,sports_reference_2021_coaches,4,1,0,0,1,0,0,0,6,0.8414
SIU Edwardsville,Brian Barone,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Maine,Richard Barron,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Western Michigan,Clayton Bates,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
The Citadel,Duggar Baucom,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Texas Tech,Chris Beard,sports_reference_2021_coaches,3,2,1,0,2,2,1,0,11,0.8843
Vermont,John Becker,sports_reference_2021_coaches,3,0,0,0,3,0,0,0,3,0.7343
Saint Mary's,Randy Bennett,sports_reference_2021_coaches,7,1,0,0,7,1,0,0,9,0.8757
Virginia,Tony Bennett,sports_reference_2021_coaches,9,4,1,1,7,3,1,1,29,0.96
Denver,Rodney Billups,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Howard,Kenneth Blakeney,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Ohio,Jeff Boals,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Syracuse,Jim Boeheim,sports_reference_2021_coaches,34,19,5,1,34,19,5,1,100,0.9943
Central Arkansas,Anthony Boone,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Colorado,Tad Boyle,sports_reference_2021_coaches,4,0,0,0,4,0,0,0,4,0.7757
Oklahoma St.,Michael Boynton,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
St. Francis NY,Glenn Braica,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Cincinnati,John Brannen,sports_reference_2021_coaches,2,0,0,0,0,0,0,0,2,0.6629
American,Mike Brennan,sports_reference_2021_coaches,1,0,0,0,1,0,0,0,1,0.5529
Jackson State,Wayne Brent,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Notre Dame,Mike Brey,sports_reference_2021_coaches,14,3,0,0,12,3,0,0,20,0.9343
Morgan State,Kevin Broadus,sports_reference_2021_coaches,1,0,0,0,0,0,0,0,1,0.5529
Wichita St.,Isaac Brown,sports_reference_2021_coaches,0,0,0,0,0,0,0,0,0,0.2443
Albany (NY),Will Brown,sports_reference_2021_coaches,5,0,0,0,5,0,0,0,5,0.81
Clemson,Brad Brownell,sports_reference_2021_coaches,5,1,0,0,2,1,0,0,7,0.8629
