team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Detroit Mercy,Bacari Alexander,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Lipscomb,Casey Alexander,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
UCLA,Steve Alford,sports_reference_2017_coaches,9,3,0,0,2,2,0,0,15,0.9096
Army,Jimmy Allen,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Oregon,Dana Altman,sports_reference_2017_coaches,12,2,0,0,4,2,0,0,16,0.9181
Harvard,Tommy Amaker,sports_reference_2017_coaches,5,1,0,0,4,0,0,0,7,0.839
Missouri,Kim Anderson,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Arkansas,Mike Anderson Sr,sports_reference_2017_coaches,7,2,0,0,1,0,0,0,11,0.8729
South Florida,Murry Bartow,sports_reference_2017_coaches,4,0,0,0,0,0,0,0,4,0.7698
Rider,Kevin Baggett,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Southern,Roman Banks,sports_reference_2017_coaches,2,0,0,0,2,0,0,0,2,0.6582
Tennessee,Rick Barnes,sports_reference_2017_coaches,22,6,1,0,0,0,0,0,38,0.9689
Cal State Bakersfield,Rod Barnes,sports_reference_2017_coaches,4,1,0,0,1,0,0,0,6,0.822
The Citadel,Duggar Baucom,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Texas Tech,Chris Beard,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Vermont,John Becker,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Michigan,John Beilein,sports_reference_2017_coaches,10,4,1,0,6,2,1,0,22,0.952
North Texas,Tony Benford,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Saint Mary's,Randy Bennett,sports_reference_2017_coaches,5,1,0,0,5,1,0,0,7,0.839
Virginia,Tony Bennett,sports_reference_2017_coaches,6,3,0,0,4,2,0,0,12,0.8898
Denver,Rodney Billups,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Stony Brook,Jeff Boals,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Syracuse,Jim Boeheim,sports_reference_2017_coaches,32,18,5,1,32,18,5,1,96,0.9944
Colorado,Tad Boyle,sports_reference_2017_coaches,4,0,0,0,4,0,0,0,4,0.7698
Morgan State,Todd Bozeman,sports_reference_2017_coaches,5,1,0,0,2,0,0,0,7,0.839
St. Francis NY,Glenn Braica,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Northern Kentucky,John Brannen,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
American,Mike Brennan,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Jackson State,Wayne Brent,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Notre Dame,Mike Brey,sports_reference_2017_coaches,13,3,0,0,11,3,0,0,19,0.9379
Savannah State,Horace Broadnax,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Albany (NY),Will Brown,sports_reference_2017_coaches,5,0,0,0,5,0,0,0,5,0.8008
Clemson,Brad Brownell,sports_reference_2017_coaches,4,0,0,0,1,0,0,0,4,0.7698
Incarnate Word,Ken Burmeister,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Georgia Southern,Mark Byington,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Belmont,Rick Byrd,sports_reference_2017_coaches,7,0,0,0,7,0,0,0,7,0.839
Kentucky,John Calipari,sports_reference_2017_coaches,17,12,6,1,6,5,4,1,73,0.9859
Cal Poly,Joe Callero,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Holy Cross,Bill Carmody,sports_reference_2017_coaches,3,0,0,0,1,0,0,0,3,0.7189
Niagara,Chris Casey,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Penn St.,Patrick Chambers,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
High Point,Scott Cherry,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Mount St. Mary's,Jamion Christian,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Boston College,Jim Christian,sports_reference_2017_coaches,2,0,0,0,0,0,0,0,2,0.6582
Iona,Tim Cluess,sports_reference_2017_coaches,3,0,0,0,3,0,0,0,3,0.7189
Northeastern,Bill Coen,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Purdue Fort Wayne,Jon Coffman,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Maryland-Eastern Shore,Bobby Collins,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Northwestern,Chris Collins,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Providence,Ed Cooley,sports_reference_2017_coaches,3,0,0,0,3,0,0,0,3,0.7189
Miami OH,John Cooper,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Houston Christian,Ron Cottrell,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Gardner-Webb,Tim Craft,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Bethune-Cookman,Gravelle Craig,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Indiana,Tom Crean,sports_reference_2017_coaches,9,4,1,0,4,3,0,0,21,0.9477
Cincinnati,Mick Cronin,sports_reference_2017_coaches,8,1,0,0,6,1,0,0,10,0.8559
UT Arlington,Scott Cross,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Troy,Phil Cunningham,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Florida Atlantic,Michael Curry,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
UC-Riverside,Dennis Cutts,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Marshall,Dan D'Antoni II,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Akron,Keith Dambrot,sports_reference_2017_coaches,3,0,0,0,3,0,0,0,3,0.7189
Green Bay,Linc Darner,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Central Michigan,Keno Davis,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Middle Tennessee,Kermit Davis Jr,sports_reference_2017_coaches,4,0,0,0,2,0,0,0,4,0.7698
Texas Southern,Mike Davis,sports_reference_2017_coaches,7,1,1,0,2,0,0,0,13,0.9025
Bucknell,Nathan Davis,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
UCF,Johnny Dawkins Jr,sports_reference_2017_coaches,1,1,0,0,0,0,0,0,3,0.7189
Navy,Ed DeChellis,sports_reference_2017_coaches,2,0,0,0,0,0,0,0,2,0.6582
Montana,Travis DeCuire,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Binghamton,Tommy Dempsey,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Chicago State,Tracy Dildy,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
TCU,Jamie Dixon,sports_reference_2017_coaches,11,3,0,0,0,0,0,0,17,0.9294
Seattle,Cameron Dollar,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Penn,Steve Donahue,sports_reference_2017_coaches,3,1,0,0,0,0,0,0,5,0.8008
Florida Gulf Coast,Joe Dooley,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Vanderbilt,Bryce Drew,sports_reference_2017_coaches,2,0,0,0,0,0,0,0,2,0.6582
Baylor,Scott Drew,sports_reference_2017_coaches,6,3,0,0,6,3,0,0,12,0.8898
North Florida,Matthew Driscoll,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Loyola Marymount,Mike Dunlap,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Tulane,Mike Dunleavy Sr,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Saint Peter's,John Dunne,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Temple,Fran Dunphy,sports_reference_2017_coaches,16,0,0,0,7,0,0,0,16,0.9181
UMass-Lowell,Pat Duquette,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Utah St.,Tim Duryea,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Cornell,Brian Earl,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
VMI,Dan Earl,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Wyoming,Allen Edwards,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
UAB,Rob Ehsan,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Coastal Carolina,Cliff Ellis,sports_reference_2017_coaches,10,3,0,0,2,0,0,0,16,0.9181
USC,Andy Enfield,sports_reference_2017_coaches,2,1,0,0,1,0,0,0,4,0.7698
Columbia,Jim Engles,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Colorado St.,Larry Eustachy,sports_reference_2017_coaches,5,1,0,0,1,0,0,0,7,0.839
Florida International,Anthony Evans,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Idaho State,Bill Evans,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Duquesne,Jim Ferry,sports_reference_2017_coaches,2,0,0,0,0,0,0,0,2,0.6582
Gonzaga,Mark Few,sports_reference_2017_coaches,17,6,0,0,17,6,0,0,29,0.9576
Montana St.,Brian Fish,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
San Diego St.,Steve Fisher,sports_reference_2017_coaches,15,6,3,1,8,2,0,0,47,0.9774
Little Rock,Wes Flanigan,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
UTEP,Tim Floyd,sports_reference_2017_coaches,8,2,0,0,0,0,0,0,12,0.8898
ETSU,Steve Forbes,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Tennessee State,Dana Ford,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Saint Louis,Travis Ford,sports_reference_2017_coaches,6,0,0,0,0,0,0,0,6,0.822
Appalachian St.,Jim Fox,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Georgia,Mark Fox,sports_reference_2017_coaches,5,0,0,0,2,0,0,0,5,0.8008
Hartford,John Gallagher,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Hawaii,Eran Ganot,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Wisconsin,Greg Gard,sports_reference_2017_coaches,1,1,0,0,1,1,0,0,3,0.7189
IU Indianapolis,Jason Gardner,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
South Carolina State,Murray Garvin,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Longwood,Jayson Gee,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Portland State,Tyler Geving,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Drake,Jeff Rutter,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
La Salle,John Giannini,sports_reference_2017_coaches,1,1,0,0,1,1,0,0,3,0.7189
Abilene Christian,Joe Golding,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
N.C. State,Mark Gottfried,sports_reference_2017_coaches,11,3,0,0,4,2,0,0,17,0.9294
Charleston,Earl Grant,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Coppin State,Michael Grant,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
South Alabama,Matthew Graves,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Illinois,Jamall Walker,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Stanford,Jerod Haase,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Tulsa,Frank Haith,sports_reference_2017_coaches,4,0,0,0,1,0,0,0,4,0.7698
Florida St.,Leonard Hamilton,sports_reference_2017_coaches,7,2,0,0,4,1,0,0,11,0.8729
Nebraska Omaha,Derrin Hansen,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Jacksonville St.,Ray Harper,sports_reference_2017_coaches,2,0,0,0,0,0,0,0,2,0.6582
SIU Edwardsville,Jon Harris,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Western Michigan,Steve Hawkins,sports_reference_2017_coaches,2,0,0,0,2,0,0,0,2,0.6582
Alabama A&M,Willie Hayes,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Eastern Washington,Jim Hayford,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Princeton,Mitch Henderson,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
UTSA,Steve Henson,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Fairleigh Dickinson,Greg Herenda,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
New Hampshire,Bill Herrion,sports_reference_2017_coaches,3,0,0,0,0,0,0,0,3,0.7189
Texas-Rio Grande Valley,Lew Hill,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Southern Illinois,Barry Hinson,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Mercer,Bob Hoffman,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Butler,Chris Holtmann,sports_reference_2017_coaches,2,0,0,0,2,0,0,0,2,0.6582
Sam Houston,Jason Hooten,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Mississippi St.,Ben Howland,sports_reference_2017_coaches,10,5,3,0,0,0,0,0,32,0.9605
Bowling Green,Michael Huger,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
West Virginia,Bob Huggins,sports_reference_2017_coaches,22,7,2,0,7,3,1,0,44,0.9746
Western Carolina,Larry Hunter,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Georgia State,Ron Hunter,sports_reference_2017_coaches,2,0,0,0,1,0,0,0,2,0.6582
Arizona St.,Bobby Hurley,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
Rhode Island,Dan Hurley,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Delaware,Martin Ingelsby,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Arkansas-Pine Bluff,George Ivory,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Michigan St.,Tom Izzo,sports_reference_2017_coaches,19,13,7,1,19,13,7,1,81,0.9887
Alabama St.,Lewis Jackson,sports_reference_2017_coaches,2,0,0,0,2,0,0,0,2,0.6582
Northern Iowa,Ben Jacobson,sports_reference_2017_coaches,4,1,0,0,4,1,0,0,6,0.822
SMU,Tim Jankovich,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Jacksonville,Tony Jasick,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Alabama,Avery Johnson,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Fairfield,Sydney Johnson,sports_reference_2017_coaches,1,0,0,0,0,0,0,0,1,0.5523
North Dakota,Brian Jones,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Yale,James Jones,sports_reference_2017_coaches,1,0,0,0,1,0,0,0,1,0.5523
Old Dominion,Jeff Jones,sports_reference_2017_coaches,7,2,0,0,0,0,0,0,11,0.8729
Boston University,Joe Jones,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
LSU,Johnny Jones,sports_reference_2017_coaches,3,0,0,0,1,0,0,0,3,0.7189
Radford,Mike Jones,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Norfolk St.,Robert Jones,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
Milwaukee,LaVall Jordan,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
George Washington,Maurice Joseph,sports_reference_2017_coaches,0,0,0,0,0,0,0,0,0,0.2373
