team,coach,source,career_ncaa_pre,career_s16_pre,career_ff_pre,career_titles_pre,school_ncaa_pre,school_s16_pre,school_ff_pre,school_titles_pre,coach_resume_points_pre,coach_tourney_score
Northern Arizona,Mike Adras,sports_reference_2008_coaches,1,0,0,0,1,0,0,0,1,0.5487
Tennessee State,Cy Alexander,sports_reference_2008_coaches,5,0,0,0,0,0,0,0,5,0.8123
New Mexico,Steve Alford,sports_reference_2008_coaches,4,1,0,0,0,0,0,0,6,0.8352
Creighton,Dana Altman,sports_reference_2008_coaches,8,0,0,0,7,0,0,0,8,0.861
Harvard,Tommy Amaker,sports_reference_2008_coaches,1,1,0,0,0,0,0,0,3,0.7292
Missouri,Mike Anderson Sr,sports_reference_2008_coaches,3,1,0,0,0,0,0,0,5,0.8123
Jackson State,Tevester Anderson,sports_reference_2008_coaches,3,0,0,0,1,0,0,0,3,0.7292
South Alabama,Ronnie Arrow,sports_reference_2008_coaches,3,0,0,0,2,0,0,0,3,0.7292
Florida Gulf Coast,Dave Balza,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
UTEP,Tony Barbee,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Texas,Rick Barnes,sports_reference_2008_coaches,15,5,1,0,9,4,1,0,29,0.9656
Georgia State,Rod Barnes,sports_reference_2008_coaches,3,1,0,0,0,0,0,0,5,0.8123
Rhode Island,Jim Baron,sports_reference_2008_coaches,2,0,0,0,0,0,0,0,2,0.6576
ETSU,Murry Bartow,sports_reference_2008_coaches,2,0,0,0,1,0,0,0,2,0.6576
VMI,Duggar Baucom,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Michigan,John Beilein,sports_reference_2008_coaches,4,2,0,0,0,0,0,0,8,0.861
Saint Mary's,Randy Bennett,sports_reference_2008_coaches,1,0,0,0,1,0,0,0,1,0.5487
Washington St.,Tony Bennett,sports_reference_2008_coaches,1,0,0,0,1,0,0,0,1,0.5487
UNC Asheville,Eddie Biedenbach,sports_reference_2008_coaches,1,0,0,0,1,0,0,0,1,0.5487
Sacred Heart,Dave Bike,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Syracuse,Jim Boeheim,sports_reference_2008_coaches,25,13,3,1,25,13,3,1,71,0.9943
Portland State,Ken Bone,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Northern Colorado,Tad Boyle,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Utah,Jim Boylen,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Morgan State,Todd Bozeman,sports_reference_2008_coaches,3,1,0,0,0,0,0,0,5,0.8123
LSU,Butch Pierre,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Marist,Matt Brady,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Cal St. Northridge,Bobby Braswell,sports_reference_2008_coaches,1,0,0,0,1,0,0,0,1,0.5487
California,Ben Braun,sports_reference_2008_coaches,8,2,0,0,5,1,0,0,12,0.9183
Notre Dame,Mike Brey,sports_reference_2008_coaches,6,1,0,0,4,1,0,0,8,0.861
Pepperdine,Eric Bridgeland,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Savannah State,Horace Broadnax,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Binghamton,Kevin Broadus,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Cal Poly,Kevin Bromley,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Cal State Bakersfield,Keith Brown,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Kansas City,Matt Brown,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Mount St. Mary's,Milan Brown,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Albany (NY),Will Brown,sports_reference_2008_coaches,2,0,0,0,2,0,0,0,2,0.6576
Wright St.,Brad Brownell,sports_reference_2008_coaches,3,0,0,0,1,0,0,0,3,0.7292
Cal St. Fullerton,Bob Burton,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Belmont,Rick Byrd,sports_reference_2008_coaches,2,0,0,0,2,0,0,0,2,0.6576
Colorado,Jeff Bzdelik,sports_reference_2008_coaches,1,0,0,0,0,0,0,0,1,0.5487
Connecticut,Jim Calhoun,sports_reference_2008_coaches,19,11,2,2,14,11,2,2,65,0.9885
Memphis,John Calipari,sports_reference_2008_coaches,9,5,1,0,4,2,0,0,23,0.9499
Monmouth,Dave Calloway,sports_reference_2008_coaches,3,0,0,0,3,0,0,0,3,0.7292
UT-Martin,Bret Campbell,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Oklahoma,Jeff Capel III,sports_reference_2008_coaches,1,0,0,0,0,0,0,0,1,0.5487
Northwestern,Bill Carmody,sports_reference_2008_coaches,2,0,0,0,0,0,0,0,2,0.6576
South Carolina State,Tim Carter,sports_reference_2008_coaches,2,0,0,0,0,0,0,0,2,0.6576
NJIT,Jim Casciano,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Central Arkansas,Rand Chappell,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Kent St.,Jim Christian,sports_reference_2008_coaches,1,0,0,0,1,0,0,0,1,0.5487
Texas A&M-Corpus Christi,Perry Clark,sports_reference_2008_coaches,4,0,0,0,0,0,0,0,4,0.7779
Fresno St.,Steve Cleveland,sports_reference_2008_coaches,3,0,0,0,0,0,0,0,3,0.7292
Northeastern,Bill Coen,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Miami OH,Charlie Coles,sports_reference_2008_coaches,4,1,0,0,3,1,0,0,6,0.8352
Winston-Salem,Bobby Collins,sports_reference_2008_coaches,1,0,0,0,0,0,0,0,1,0.5487
Illinois Chicago,Jimmy Collins,sports_reference_2008_coaches,3,0,0,0,3,0,0,0,3,0.7292
The Citadel,Ed Conroy,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Fairfield,Ed Cooley,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Marquette,Tom Crean,sports_reference_2008_coaches,4,1,1,0,4,1,1,0,10,0.9026
Charleston,Bobby Cremins,sports_reference_2008_coaches,11,5,1,0,0,0,0,0,25,0.957
Army,Jim Crews,sports_reference_2008_coaches,4,0,0,0,0,0,0,0,4,0.7779
Cincinnati,Mick Cronin,sports_reference_2008_coaches,2,0,0,0,0,0,0,0,2,0.6576
UT Arlington,Scott Cross,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Indiana,Dan Dakich,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Akron,Keith Dambrot,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Texas State,Doug Davalos,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Colgate,Emmett Davis,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Drake,Keno Davis,sports_reference_2008_coaches,0,0,0,0,0,0,0,0,0,0.2393
Middle Tennessee,Kermit Davis Jr,sports_reference_2008_coaches,2,0,0,0,0,0,0,0,2,0.6576
UAB,Mike Davis,sports_reference_2008_coaches,4,1,1,0,0,0,0,0,10,0.9026
Penn St.,Ed DeChellis,sports_reference_2008_coaches,1,0,0,0,0,0,0,0,1,0.5487
Wagner,Mike Deane,sports_reference_2008_coaches,4,0,0,0,0,0,0,0,4,0.7779
UNC Greensboro,Mike Dement,sports_reference_2008_coaches,1,0,0,0,0,0,0,0,1,0.5487
